district,no_of_bank_branches_per_one_lakh_population,no_of_bc_outlets_per_one_lakh_population_ii,no_of_atms_per_one_lakh_population_iii
Almora,25,33,25
Bageshwar,20,27,14
Chamoli,25,28,20
Champawat,24,27,22
Dehradun,35,24,49
Haridwar,15,25,53
Nainital,26,34,35
Pauri Garhwal,29,23,22
Pithoragarh,22,25,16
Rudraprayag,24,24,10
Tehri Garhwal,24,23,24
Udham Singh Nagar,21,27,41
Uttarkashi,21,35,26
