district,sr,rcs_pending_less_than_1_year_no,rcs_pending_less_than_1_year_amt,rcs_pending_1_to_3_years_no,rcs_pending_1_to_3_years_amt,rcs_pending_3_to_5_years_no,rcs_pending_3_to_5_years_amt,rcs_pending_more_than_5_years_no,rcs_pending_more_than_5_years_amt,total_rcs_pending_more_than_5_years_no,total_rcs_pending_more_than_5_years_amt,recovery_agt_rc_01_04_22_to_30_09_22_more_than_5_years_no,recovery_agt_rc_01_04_22_to_30_09_22_more_than_5_years_amt,pct_recovery_agt_rc_lodged_more_than_5_years_amt
Almora,99,952,661.67,373,406.95,147,113.4,103,36.8,1575,1218.82,105,89.72,7
Bageshwar,77,194,148.88,15,2,0,0,0,0,209,150.88,98,118.96,79
Chamoli,44,148,74,339,164,147,88,97,141,731,467,81,23,5
Champawat,88,146,106,233,139,292,127,167,117,838,489,139,33,7
Dehradun,1100,3471,6212.44,1177,1212.98,906,951.5,1090,772.52,6644,9149.44,218,133.92,1
Haridwar,1111,576,45.4,826,730.2,413,365.1,310,119.3,2125,1260,576,795.4,63
Nainital,1122,176,279,184,140,23,31,0,0,383,450,92,90,20
Pauri Garhwal,33,613,417.4,745,436.82,60,91,51,28.43,1469,973.65,113,85.05,9
Pithoragarh,55,629,375.36,849,628.27,829,355.04,167,117.13,2474,1475.8,238,139.38,9
Rudraprayag,66,276,169.49,193,111.21,88,21.82,23,5.71,580,308.23,172,196.41,64
Tehri Garhwal,22,2529,3357.8,262,256.23,197,284.27,267,197.57,3255,4095.87,87,25.83,1
Udham Singh Nagar,1133,458,273.17,448,234.84,102,184.21,0,0,1008,692.22,263,546.63,79
Uttarkashi,11,529,275,222,73,69,18,16,2,836,368,226,197,54
