district,sr,no_of_branch,total_deposite,total_advances,c_d_ratio_pct
Almora,8,152,721000,176200,24
Bageshwar,9,56,224900,50000,22
Chamoli,6,101,435700,277100,64
Champawat,11,65,263900,92400,35
Dehradun,1,582,7556500,2757600,36
Haridwar,3,288,2544400,1700400,67
Nainital,12,264,2140300,1022300,48
Pauri Garhwal,5,207,1048700,271200,26
Pithoragarh,10,109,526400,222800,42
Rudraprayag,7,54,250600,66500,27
Tehri Garhwal,4,145,626000,211300,34
Udham Singh Nagar,13,344,1819300,1851200,102
Uttarkashi,2,69,255300,122500,48
