district,sr,rcs_pending_less_than_1_year_no,rcs_pending_less_than_1_year_amt,rcs_pending_1_to_3_years_no,rcs_pending_1_to_3_years_amt,rcs_pending_3_to_5_years_no,rcs_pending_3_to_5_years_amt,rcs_pending_more_than_5_years_no,rcs_pending_more_than_5_years_amt,total_rcs_pending_more_than_5_years_no,total_rcs_pending_more_than_5_years_amt,recovery_agt_rc_01_04_22_to_30_09_22_more_than_5_years_no,recovery_agt_rc_01_04_22_to_30_09_22_more_than_5_years_amt,pct_recovery_agt_rc_lodged_more_than_5_years_amt
Almora,4,894,60927,373,40695,147,11340,103,3679.9999999999995,1517,116642,105,8972,330
Bageshwar,5,87,6765.000000000001,15,200,0,0,0,0,102,6965.000000000001,67,5838,4561
Chamoli,9,163,7500,340,16200,146,8800,97,14100,746,46500,76,2100,455.99999999999994
Champawat,6,159,12100,215,10422,301,14208.000000000002,177,13201,856,46079,123,2926,2175
Dehradun,1,3549,619308,1043,128575,1358,72558,466,49343,6401,867267,415,28222.000000000004,325
Haridwar,2,267,17877,467,31285.000000000004,334,22346,267,17880,1726,152846,387,62932.00000000001,4100
Nainital,7,176,27937,184,13980.000000000002,23,3132,0,0,383,45051,92,9016,2001.0000000000002
Pauri Garhwal,3,639,47223,539,34911,63,9300,22,2840,1241,91402,99,8226,900
Pithoragarh,8,716,42605,919,50953,933,43069,167,11713,2735,148340,176,10536,710
Rudraprayag,10,199,11430,153,14494,120,9904,38,836,520,32631,51,8827,2705
Tehri Garhwal,11,2713,357116,274,26788,200,28427.999999999996,267,19757,3410,430305,86,2518,5404
Udham Singh Nagar,12,458,75429,448,64930.99999999999,102,13155.000000000002,0,0,824,112272,197,38965,2500
