district,sr_no,flc_manager_no_of_sepcial_camps,flc_manager_participant,flc_manager_no_of_specific_camps,flc_manager_participants,rural_branches_camps
Almora,9,10,142,13,243,139
Bageshwar,5,9,282,13,396,96
Chamoli,3,5,166,16,472,87
Champawat,4,5,154,15,952,188
Dehradun,10,5,127,24,842,102
Haridwar,11,6,177,15,482,186
Nainital,12,13,439,28,813,267
Pauri Garhwal,8,8,216,15,336,392
Pithoragarh,6,12,335,13,369,240
Rudraprayag,7,6,207,28,602,32
Tehri Garhwal,2,6,121,23,530,185
Udham Singh Nagar,13,7,223,13,308,147
Uttarkashi,1,6,139,15,393,226
