district,No. of Aadhaar Seeded,female_a_c,male_a_c,No. of Rupay Card Issued,rural_a_c,total_a_c,total_deposit,urban_a_c,No. of Zero Balance A/C
Alipurduar,487502.0,327682.0,244593.0,485393.0,374914.0,572275.0,227.11,197361.0,33835.0
Bankura,1808193.0,1207117.0,963942.0,1230547.0,1897178.0,2171059.0,1110.46,273881.0,117681.0
Birbhum,1878496.0,1305888.0,968204.0,1348734.0,1831259.0,2274092.0,889.47,442833.0,143851.0
Cooch Behar,1342276.0,882251.0,692780.0,1217239.0,1124626.0,1575031.0,404.23,450405.0,91063.0
Dakshin Dinajpur,952471.0,656259.0,495675.0,664187.0,948678.0,1151934.0,362.84,203256.0,72059.0
Hooghly,2005433.0,1374588.0,947058.0,1434884.0,1590194.0,2321646.0,1130.08,731452.0,108051.0
Howrah,1698737.0,1175635.0,819112.0,1308673.0,1315086.0,1994747.0,922.58,679661.0,90639.0
Jalpaiguri,1282495.0,855482.0,633032.0,1070237.0,986342.0,1488514.0,553.26,502172.0,99937.0
Kolkata,719062.0,497839.0,399644.0,666659.0,6443.0,897483.0,380.91,891040.0,77691.0
Malda,2742182.0,1833300.0,1356847.0,1643414.0,2742352.0,3190147.0,1104.77,447795.0,274247.0
Murshidabad,3648487.0,2452696.0,1868248.0,2888833.0,3162636.0,4320944.0,1459.67,1158308.0,283562.0
Nadia,2433772.0,1715903.0,1267219.0,1907069.0,2011717.0,2983122.0,1178.86,971405.0,202941.0
North 24 Parganas,3612204.0,2490978.0,1788692.0,2875969.0,2506573.0,4279670.0,1942.89,1773097.0,222179.0
Paschim Medinipur,2570984.0,1760078.0,1302451.0,1767032.0,2577490.0,3062529.0,1514.93,485039.0,140319.0
Purba Bardhaman,2987642.0,2247434.0,1365191.0,2285808.0,2498978.0,3612625.0,1306.97,1113647.0,175886.0
Purba Medinipur,2138620.0,1412887.0,1110696.0,1484697.0,2330433.0,2523583.0,1294.8,193150.0,109048.0
Purulia,1658239.0,1076233.0,889115.0,1147257.0,1645790.0,1965348.0,981.23,319558.0,144094.0
South 24 Parganas,4075000.0,2778120.0,2061740.0,2974953.0,4127929.0,4839860.0,1956.75,711931.0,330455.0
Uttar Dinajpur,2076726.0,1447568.0,1130437.0,1310758.0,2027160.0,2578005.0,617.47,550845.0,230234.0
