district,amount_in_cr,loan_disbursed_in_adopted_msme_cluster_no,loan_disbursed_in_handloom_cluster_no,loan_disbursed_in_kvib_cluster_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sponsored_sanct_ioned_in_handloom_cluster_no,loan_sponsored_sanct_ioned_in_kvib_cluster_no,proposals_sponsored_generated_in_msme_cluster_no
Alipurduar,1.89,144.0,228.0,110.0,172.0,325.0,141.0,245.0
Bankura,1.25,182.0,0.0,155.0,182.0,0.0,155.0,237.0
Birbhum,1.75,535.0,303.0,200.0,535.0,303.0,200.0,877.0
Cooch Behar,7.28,2185.0,24.0,80.0,2362.0,24.0,109.0,2401.0
Dakshin Dinajpur,0.1,16.0,2.0,2.0,22.0,3.0,6.0,51.0
Darjeeling,0.0,155.0,0.0,0.0,157.0,0.0,0.0,181.0
Hooghly,0.0,94.0,132.0,0.0,94.0,132.0,0.0,94.0
Howrah,0.0,152.0,0.0,0.0,152.0,0.0,0.0,152.0
Jalpaiguri,0.25,23.0,0.0,1.0,23.0,0.0,1.0,90.0
Jhargram,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0
Kalimpong,0.0,14.0,0.0,0.0,14.0,0.0,0.0,44.0
Kolkata,0.0,52.0,6.0,0.0,58.0,6.0,0.0,313.0
Malda,0.0,45.0,73.0,0.0,45.0,155.0,0.0,128.0
Murshidabad,0.0,81.0,392.0,0.0,82.0,473.0,0.0,93.0
Nadia,12.5,935.0,770.0,56.0,950.0,960.0,60.0,1662.0
North 24 Parganas,10.45,179.0,23.0,58.0,193.0,23.0,62.0,204.0
Paschim Bardhaman,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0
Paschim Medinipur,2.59,3623.0,37.0,75.0,3787.0,37.0,78.0,4749.0
Purba Bardhaman,0.0,310.0,0.0,0.0,312.0,0.0,0.0,376.0
Purba Medinipur,0.0,1069.0,21.0,0.0,1069.0,21.0,0.0,1962.0
Purulia,3.44,172.0,5.0,169.0,206.0,5.0,178.0,251.0
South 24 Parganas,0.0,61.0,0.0,0.0,67.0,0.0,0.0,95.0
Uttar Dinajpur,0.63,2213.0,54.0,18.0,2213.0,54.0,18.0,2213.0
