district,amount,no_of_active_shgs,no_of_cases_pending,no_of_sponsored_application_in_fy_23_24,sep_g_disbursed_no,sep_g_sanctioned_no,sep_i_disbursed_no,sep_i_sanctioned_no,shg_loan_disbursed_no,shg_loan_sanctioned_no,target_amount_of_sep_g_loan_to_be_disbursed_fy_23_24,target_amount_of_sep_i_loan_to_be_disbursed_fy_23_24,target_amount_of_shg_loan_to_be_disbursed_fy_23_24,target_fy_23_24,target_fy_fy_23_24
Alipurduar,0.42,1319.0,21.0,44.0,0.0,2.0,1.0,1.0,22.0,23.0,0.24,0.7,2.78,185.0,35.0
Bankura,1.44,2547.0,17.0,119.0,1.0,1.0,8.0,8.0,76.0,102.0,0.18,1.18,4.68,312.0,59.0
Birbhum,2.35,3931.0,349.0,423.0,19.0,19.0,51.0,55.0,124.0,122.0,0.48,3.74,13.31,887.0,187.0
Cooch Behar,0.57,1818.0,22.0,51.0,0.0,0.0,8.0,8.0,30.0,31.0,0.42,2.52,6.6,440.0,126.0
Dakshin Dinajpur,0.63,1973.0,14.0,91.0,1.0,1.0,2.0,2.0,33.0,77.0,0.21,1.22,5.93,395.0,61.0
Darjeeling,0.99,2499.0,95.0,146.0,0.0,0.0,2.0,1.0,52.0,55.0,0.27,2.36,7.2,480.0,118.0
Hooghly,3.36,6635.0,357.0,537.0,1.0,1.0,52.0,54.0,177.0,182.0,0.78,5.82,16.85,1123.0,291.0
Howrah,0.63,2013.0,160.0,192.0,0.0,0.0,2.0,2.0,33.0,34.0,0.18,2.08,8.16,544.0,104.0
Jalpaiguri,2.6,1841.0,49.0,186.0,1.0,1.0,6.0,7.0,137.0,137.0,0.24,1.76,4.46,297.0,88.0
Jhargram,0.06,529.0,6.0,9.0,0.0,0.0,0.0,0.0,3.0,3.0,0.03,0.4,1.31,87.0,20.0
Kalimpong,0.08,192.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.15,0.34,1.2,80.0,17.0
Kolkata,1.21,1801.0,202.0,261.0,0.0,0.0,19.0,19.0,64.0,66.0,0.15,2.4,4.5,300.0,120.0
Malda,0.25,912.0,56.0,66.0,2.0,2.0,1.0,1.0,13.0,10.0,0.15,0.9,3.93,262.0,45.0
Murshidabad,2.89,6030.0,92.0,233.0,1.0,1.0,16.0,16.0,152.0,147.0,0.72,3.88,15.32,1021.0,194.0
Nadia,4.42,6459.0,272.0,522.0,0.0,0.0,43.0,47.0,233.0,269.0,0.72,5.04,17.4,1160.0,252.0
North 24 Parganas,10.25,17095.0,619.0,1144.0,4.0,4.0,81.0,95.0,540.0,553.0,1.71,12.92,48.0,3200.0,646.0
Paschim Bardhaman,1.31,3184.0,305.0,359.0,1.0,1.0,2.0,2.0,69.0,68.0,0.27,2.0,9.03,602.0,100.0
Paschim Medinipur,2.49,4338.0,176.0,311.0,0.0,1.0,12.0,12.0,131.0,138.0,0.57,3.66,9.87,658.0,183.0
Purba Bardhaman,2.47,3751.0,67.0,182.0,2.0,2.0,5.0,6.0,130.0,119.0,0.36,3.34,7.53,502.0,167.0
Purba Medinipur,1.71,3417.0,262.0,352.0,4.0,4.0,3.0,5.0,90.0,94.0,0.57,2.32,5.49,366.0,116.0
Purulia,0.87,1250.0,16.0,58.0,1.0,1.0,1.0,1.0,46.0,46.0,0.12,1.14,2.85,190.0,57.0
South 24 Parganas,1.77,4075.0,239.0,348.0,1.0,1.0,24.0,23.0,93.0,110.0,0.39,3.2,12.36,824.0,160.0
Uttar Dinajpur,0.4,2362.0,148.0,181.0,0.0,0.0,7.0,7.0,21.0,35.0,0.66,1.9,7.35,490.0,95.0
