district,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c
Alipurduar,520120.0,50927.0,136180.0,333013.0,572275.0
Bankura,1384209.0,139023.0,290511.0,954675.0,2171059.0
Birbhum,1825712.0,197090.0,504609.0,1124013.0,2274092.0
Cooch Behar,1210867.0,157609.0,292747.0,760511.0,1575031.0
Dakshin Dinajpur,736108.0,76093.0,177678.0,482337.0,1151934.0
Hooghly,2040542.0,249357.0,488906.0,1302279.0,2321646.0
Howrah,1619568.0,194908.0,393617.0,1031043.0,1994747.0
Jalpaiguri,1252208.0,149541.0,331905.0,770762.0,1488514.0
Kolkata,2141999.0,179956.0,450892.0,1511151.0,897483.0
Malda,1752314.0,229815.0,418053.0,1104446.0,3190147.0
Murshidabad,3143746.0,388459.0,705496.0,2049791.0,4320944.0
Nadia,2026860.0,230808.0,414132.0,1381920.0,2983122.0
North 24 Parganas,3408866.0,367258.0,739185.0,2302423.0,4279670.0
Paschim Medinipur,2248968.0,257137.0,494500.0,1497331.0,3062529.0
Purba Bardhaman,2663129.0,301922.0,731222.0,1629985.0,3612625.0
Purba Medinipur,1944235.0,298097.0,399963.0,1246175.0,2523583.0
Purulia,912702.0,106002.0,237956.0,568744.0,1965348.0
South 24 Parganas,2426871.0,295420.0,585181.0,1546270.0,4839860.0
Uttar Dinajpur,1081067.0,132635.0,263320.0,685112.0,2578005.0
