district,amount_rs_cr,out_of_a_disburded_by_bank_no,out_of_a_only_approved_by_bank_disbursement_no,out_of_a_rejected_d,out_of_a_sanctioned_by_bank_no,pending_at_bank_level_verified_by_pmu_stcb_no,total_application_submitted_to_bank_a
Alipurduar,2.22,32.0,8.0,64.0,40.0,6.0,110.0
Bankura,6.41,136.0,5.0,65.0,141.0,11.0,217.0
Birbhum,3.52,38.0,5.0,40.0,43.0,7.0,90.0
Cooch Behar,8.29,33.0,6.0,105.0,39.0,7.0,151.0
Darjeeling,9.4,10.0,2.0,43.0,12.0,15.0,70.0
Hooghly,5.72,183.0,11.0,52.0,194.0,8.0,254.0
Howrah,7.62,16.0,4.0,12.0,20.0,5.0,37.0
Jalpaiguri,13.95,21.0,2.0,67.0,23.0,8.0,98.0
Jhargram,0.73,16.0,1.0,26.0,17.0,6.0,49.0
Kalimpong,0.07,2.0,0.0,2.0,2.0,1.0,5.0
Kolkata,0.0,1.0,1.0,1.0,2.0,0.0,3.0
Malda,8.45,38.0,2.0,139.0,40.0,14.0,193.0
Murshidabad,4.83,71.0,13.0,328.0,84.0,19.0,431.0
Nadia,4.88,32.0,9.0,119.0,41.0,9.0,169.0
Paschim Bardhaman,0.0,33.0,5.0,6.0,38.0,0.0,44.0
Purba Bardhaman,15.65,206.0,15.0,93.0,221.0,13.0,327.0
Purulia,5.37,20.0,4.0,60.0,24.0,3.0,87.0
