district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,834.35,1660.87,606.2,30.27,489.61,2756.68
Bankura,2862.67,5143.54,5237.72,24.79,1166.53,11547.79
Birbhum,1636.52,5461.11,4338.51,14.65,1370.78,11170.4
Cooch Behar,1674.13,5135.99,2543.12,18.86,1199.43,8878.53
Dakshin Dinajpur,2162.01,5050.39,5247.47,19.17,980.66,11278.53
Darjeeling,1965.87,1124.66,2651.72,41.42,970.37,4746.75
Hooghly,2768.99,5615.1,5559.22,21.59,1653.14,12827.45
Howrah,4404.72,2505.51,12081.9,27.98,1155.69,15743.1
Jalpaiguri,1500.04,3002.85,3703.47,19.36,1043.0,7749.32
Jhargram,1031.05,2847.49,2622.84,16.43,804.66,6274.99
Kalimpong,115.21,350.84,409.34,13.16,115.45,875.63
Kolkata,21315.9,696.83,19914.39,73.5,8389.78,29000.99
Malda,3603.9,6875.22,3582.04,25.69,3571.07,14028.33
Murshidabad,7502.63,9042.7,8852.53,36.0,2946.98,20842.21
Nadia,4005.76,6977.92,8469.2,22.94,2018.56,17465.68
Paschim Bardhaman,2267.42,369.69,8648.52,23.65,570.34,9588.55
Paschim Medinipur,5177.13,10955.53,6939.96,25.79,2176.92,20072.41
Purba Bardhaman,3682.2,9112.52,6846.23,20.68,1851.04,17809.79
Purba Medinipur,5435.72,7333.65,6391.59,34.42,2066.3,15791.55
Purulia,1921.63,3884.17,3740.0,20.95,1547.48,9171.64
Uttar Dinajpur,1487.39,3953.97,1472.78,22.01,1331.87,6758.62
