district,camps_by_rural_branches_no_of_total_rural_branches,no_of_camps_conducted,no_of_flcs,no_of_participants_attended,special_camps_by_flcs_target,target,target_specific_camps_by_flcs_target
Alipurduar,51.0,129.0,0.0,0.0,0.0,153.0,0.0
Bankura,168.0,118.0,1.0,3908.0,6.0,504.0,15.0
Birbhum,212.0,55.0,1.0,1815.0,6.0,636.0,15.0
Cooch Behar,136.0,43.0,2.0,449.0,12.0,408.0,30.0
Dakshin Dinajpur,79.0,20.0,2.0,775.0,12.0,237.0,30.0
Darjeeling,81.0,81.0,2.0,1318.0,12.0,243.0,30.0
Hooghly,237.0,592.0,1.0,979.0,6.0,711.0,15.0
Howrah,115.0,42.0,2.0,8733.0,12.0,345.0,30.0
Jalpaiguri,79.0,262.0,1.0,228.0,6.0,237.0,15.0
Jhargram,83.0,96.0,1.0,215.0,6.0,249.0,15.0
Kalimpong,12.0,5.0,1.0,0.0,6.0,36.0,15.0
Kolkata,6.0,18.0,1.0,207.0,6.0,18.0,15.0
Malda,189.0,327.0,2.0,583.0,12.0,567.0,30.0
Murshidabad,339.0,927.0,2.0,584.0,12.0,1017.0,30.0
Nadia,176.0,15.0,1.0,845.0,6.0,528.0,15.0
North 24 Parganas,313.0,788.0,1.0,1349.0,6.0,939.0,15.0
Paschim Bardhaman,100.0,55.0,1.0,432.0,6.0,300.0,15.0
Paschim Medinipur,248.0,276.0,1.0,182.0,6.0,744.0,15.0
Purba Bardhaman,370.0,123.0,1.0,2086.0,6.0,1110.0,15.0
Purba Medinipur,177.0,546.0,2.0,0.0,12.0,531.0,30.0
Purulia,152.0,378.0,1.0,476.0,6.0,456.0,15.0
South 24 Parganas,306.0,395.0,1.0,605.0,6.0,918.0,15.0
Uttar Dinajpur,81.0,126.0,1.0,5163.0,6.0,243.0,15.0
