district,disbursement_amt,kishore_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,total_no_of_a_cs
Alipurduar,52.34,1019.0,52.42,6193.0,247.0,7459.0
Bankura,136.93,2119.0,142.88,12285.0,705.0,15109.0
Birbhum,219.32,5605.0,224.09,19185.0,633.0,25423.0
Cooch Behar,107.05,1859.0,116.09,8954.0,697.0,11510.0
Dakshin Dinajpur,110.31,2706.0,112.65,16865.0,282.0,19853.0
Howrah,273.41,7878.0,283.29,27181.0,735.0,35794.0
Jalpaiguri,185.03,4652.0,201.32,19491.0,920.0,25063.0
Jhargram,51.55,1226.0,51.62,4744.0,286.0,6256.0
Kalimpong,4.25,108.0,4.41,199.0,28.0,335.0
Kolkata,486.42,9704.0,517.6,32822.0,2664.0,45190.0
Malda,219.54,6140.0,224.37,24820.0,769.0,31729.0
Murshidabad,513.07,16791.0,520.96,66052.0,1461.0,84304.0
Nadia,325.71,7676.0,337.9,43675.0,1120.0,52471.0
North 24 Parganas,567.68,13344.0,603.14,63681.0,2281.0,79306.0
Paschim Medinipur,379.29,7152.0,385.97,31887.0,2333.0,41372.0
Purba Bardhaman,227.73,4362.0,230.58,25727.0,972.0,31061.0
Purba Medinipur,399.92,9344.0,406.55,36128.0,1999.0,47471.0
South 24 Parganas,338.71,7885.0,350.38,40587.0,1314.0,49786.0
Uttar Dinajpur,140.98,2738.0,145.67,16932.0,617.0,20287.0
