district,amount,mm_claimed_no,mm_disbursed_no,of_achievement_mm_disbursed_no,returned_no,sanctioned_no,sponsored_in_fy_2023_24_no,target_for_2023_24_no
Alipurduar,3.66,28.0,19.0,9.5,9.0,19.0,58.0,200.0
Bankura,8.07,21.0,5.0,2.94,10.0,11.0,55.0,170.0
Birbhum,19.55,40.0,16.0,6.4,55.0,38.0,161.0,250.0
Cooch Behar,19.94,27.0,10.0,4.0,47.0,37.0,160.0,250.0
Dakshin Dinajpur,1.19,10.0,6.0,4.8,3.0,7.0,17.0,125.0
Darjeeling,11.95,19.0,10.0,5.88,12.0,23.0,61.0,170.0
Hooghly,16.07,17.0,4.0,2.67,19.0,16.0,95.0,150.0
Howrah,12.16,30.0,8.0,3.2,24.0,29.0,126.0,250.0
Jalpaiguri,13.38,13.0,7.0,3.5,16.0,18.0,58.0,200.0
Kalimpong,10.33,6.0,0.0,0.0,8.0,10.0,34.0,100.0
Kolkata,4.15,1.0,0.0,0.0,8.0,3.0,28.0,100.0
Malda,7.4,29.0,9.0,5.14,15.0,36.0,127.0,175.0
Murshidabad,27.04,84.0,33.0,10.15,45.0,66.0,152.0,325.0
Nadia,30.43,37.0,20.0,11.76,32.0,18.0,78.0,170.0
Paschim Bardhaman,0.67,3.0,1.0,1.0,1.0,2.0,5.0,100.0
Paschim Medinipur,9.62,20.0,11.0,6.47,19.0,16.0,85.0,170.0
Purba Medinipur,4.82,137.0,63.0,10.64,20.0,104.0,314.0,592.0
Purulia,6.33,22.0,7.0,4.12,10.0,11.0,45.0,170.0
Uttar Dinajpur,2.63,2.0,2.0,1.6,2.0,6.0,13.0,125.0
