district,amount,average_disbursement_amount_in_lakh,disbursement_no,of_achievement_no,outstanding_no,sanctioned_no,target_2023_24_no
Alipurduar,15.37,1.2,7292.0,64.2,21702.0,2581.0,11359.0
Bankura,9.56,1.54,8587.0,25.05,53335.0,5058.0,34275.0
Birbhum,7.8,2.27,6747.0,13.83,64601.0,6502.0,48800.0
Cooch Behar,20.35,1.11,24871.0,94.48,52920.0,5156.0,26325.0
Dakshin Dinajpur,9.21,0.68,8303.0,51.17,24249.0,1558.0,16225.0
Darjeeling,16.92,1.52,2936.0,48.62,6749.0,1164.0,6039.0
Hooghly,12.79,1.41,11284.0,36.21,45510.0,5405.0,31160.0
Howrah,13.31,1.65,9242.0,30.92,35135.0,4425.0,29888.0
Jalpaiguri,18.03,1.36,12730.0,61.93,35683.0,3188.0,20557.0
Jhargram,8.73,1.49,3157.0,23.39,17356.0,3064.0,13500.0
Kalimpong,22.85,1.78,1454.0,50.75,3200.0,513.0,2865.0
Kolkata,100.0,0.92,293.0,100.0,2911.0,0.0,0.0
Malda,8.5,0.95,11148.0,34.84,55621.0,4037.0,31998.0
Murshidabad,9.67,0.97,17810.0,50.18,80631.0,8756.0,35493.0
Nadia,10.99,1.02,12340.0,38.22,53833.0,3426.0,32284.0
North 24 Parganas,10.89,1.15,16955.0,35.6,65307.0,6365.0,47629.0
Paschim Bardhaman,7.06,1.98,1244.0,10.95,10339.0,606.0,11361.0
Paschim Medinipur,8.87,1.55,10713.0,21.73,60947.0,8035.0,49304.0
Purba Bardhaman,10.7,2.38,8470.0,18.22,56480.0,6610.0,46500.0
Purba Medinipur,10.69,2.32,13989.0,26.25,76607.0,11017.0,53285.0
Purulia,8.02,1.01,5973.0,25.75,37803.0,2445.0,23200.0
South 24 Parganas,13.32,1.19,21915.0,45.71,78132.0,6022.0,47942.0
Uttar Dinajpur,10.93,0.69,10672.0,58.97,36493.0,2612.0,18096.0
