district,amount,kcc_disbursement_during_01_04_2023_to_30_06_2023_fresh_renewal_no,kcc_outstanding_as_on_30_06_2023_no,of_achievement_no,target_no
Alipurduar,180.85,4398.0,26625.0,11.42,38500.0
Bankura,614.01,42821.0,163186.0,21.63,198000.0
Birbhum,828.89,35460.0,249955.0,14.78,240000.0
Cooch Behar,839.21,11559.0,162231.0,6.08,190000.0
Dakshin Dinajpur,395.06,33072.0,108454.0,28.76,115000.0
Darjeeling,133.82,5392.0,25968.0,29.15,18500.0
Hooghly,1610.39,29772.0,340635.0,7.54,395000.0
Howrah,341.26,13359.0,54856.0,14.06,95000.0
Jalpaiguri,540.52,11742.0,86298.0,29.36,40000.0
Jhargram,88.15,9443.0,22619.0,17.17,55000.0
Kalimpong,64.39,514.0,10350.0,5.14,10000.0
Kolkata,10.7,59.0,178.0,,0.0
Malda,659.67,27771.0,143102.0,25.25,110000.0
Murshidabad,713.44,48537.0,144897.0,51.09,95000.0
Nadia,2485.0,14521.0,254849.0,13.2,110000.0
Paschim Bardhaman,185.1,3062.0,15436.0,12.25,25000.0
Paschim Medinipur,1820.21,54830.0,482555.0,22.38,245000.0
Purba Bardhaman,2302.53,26959.0,306563.0,9.63,280000.0
Purba Medinipur,1690.03,290298.0,582522.0,38.71,750000.0
Purulia,321.42,12982.0,120286.0,37.09,35000.0
Uttar Dinajpur,1022.32,12894.0,246008.0,23.44,55000.0
