district,aap_target_for_fy_2022_23_no_of_programs,achievement_no_of_programs,total_trained
Bankura,30.0,23.33,27.05
Birbhum,20.0,10.0,8.51
Cooch Behar,16.0,31.25,35.25
Darjeeling,13.0,38.46,38.38
Hooghly,26.0,30.77,26.01
Howrah,29.0,13.79,9.94
Jalpaiguri,19.0,21.05,24.32
Malda,24.0,20.83,20.67
Nadia,24.0,33.33,27.52
North 24 Parganas,26.0,30.77,32.88
Purba Bardhaman,24.0,29.17,22.39
Purba Medinipur,25.0,24.0,23.95
Purulia,23.0,30.43,35.0
South 24 Parganas,29.0,34.48,35.77
Uttar Dinajpur,32.0,18.75,20.29
