district,sum_of_cummul_ative_no_of_applicati_ons_sanction_ed,sum_of_cummul_ative_second_applicati_on_submitt_ed_for_same_ot_her_reasons,sum_of_cummula_tive_already_availed_loan_for_same_purpose_from_other_banks,sum_of_cummula_tive_already_having_kcc_with_some_other_bank,sum_of_cummula_tive_any_other_reason,sum_of_cummula_tive_applicant_in_default_npa,sum_of_cummula_tive_applicati_on_for_vending,sum_of_cummula_tive_farmers_do_not_have_vessel,sum_of_cummula_tive_no_of_applicati_ons_accepted,sum_of_cummula_tive_no_of_applicati_ons_received,sum_of_cummula_tive_not_having_permissi_on_licence_for_pond_res_ervoir,sum_of_cummula_tive_wrong_incomple_te_informati_on_furnished,sum_of_cummulati_ve_appplicant_i_not_tracable_ii_unwilling_to_avail_iii_unaware,sum_of_pendency_more_than_15_days
Alipurduar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Bankura,140.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,141.0,141.0,0.0,0.0,0.0,0.0
Birbhum,500.0,0.0,0.0,195.0,20.0,820.0,0.0,0.0,1740.0,1740.0,150.0,0.0,55.0,0.0
Dakshin Dinajpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalpaiguri,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,1.0,0.0,0.0
Jhargram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalimpong,44.0,0.0,0.0,12.0,0.0,22.0,0.0,0.0,124.0,124.0,46.0,0.0,0.0,0.0
Kolkata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Murshidabad,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nadia,35.0,0.0,0.0,6.0,7.0,7.0,5.0,0.0,66.0,75.0,0.0,0.0,6.0,0.0
Paschim Medinipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Purba Medinipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Dinajpur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
