district,crop_loan_t,a,pct,term_loan_water_resources_t,a,pct,farm_mechanisation_t,a,pct,plantation_and_horticulture_t,a,pct,forestry_and_wasteland_dev_t,a,pct,allied_advance_ah_dairy_t,a,pct,ah_poultry_t,a,pct,ah_sheep_goat_piggery_t,a,pct
Angul,2046.09,730.53,35.70,41.20,18.86,45.77,227.36,82.69,36.37,64.05,53.78,83.96,13.32,5.43,40.75,207.73,38.87,18.71,116.96,41.74,35.69,111.50,31.57,28.31
Balangir,2930.53,1331.86,45.45,45.40,238.50,525.36,305.30,54.14,17.73,44.92,211.63,471.08,25.38,4.96,19.53,175.32,47.77,27.25,355.37,43.41,12.22,347.91,22.71,6.53
Balasore,2722.07,1205.73,44.29,98.71,8.78,8.90,225.51,149.45,66.27,238.11,123.77,51.98,6.06,6.89,113.62,199.28,60.85,30.54,150.24,62.66,41.71,18.27,41.33,226.22
Bargarh,5081.08,1803.54,35.50,122.18,30.63,25.07,459.99,73.46,15.97,159.07,95.73,60.18,29.23,6.58,22.51,187.96,35.56,18.92,123.29,40.73,33.03,136.69,23.09,16.89
Bhadrak,2348.98,978.01,41.64,25.21,7.52,29.83,127.03,122.09,96.11,89.80,39.88,44.41,9.67,6.73,69.64,154.88,47.25,30.51,70.53,40.96,58.07,159.52,26.90,16.87
Boudh,1070.85,396.01,36.98,10.05,0.54,5.34,62.85,36.96,58.81,27.67,40.84,147.62,2.98,1.33,44.74,25.63,4.02,15.70,43.00,6.35,14.77,19.61,2.05,10.47
Cuttack,2604.22,1303.75,50.06,40.87,10.42,25.50,176.37,192.74,109.28,65.39,41.42,63.34,1.78,14.02,788.70,213.14,69.48,32.60,217.97,79.73,36.58,122.99,67.38,54.78
Deogarh,685.44,226.87,33.10,6.83,1.40,20.57,44.94,35.42,78.81,62.85,2.25,3.58,6.87,1.84,26.73,12.95,3.20,24.67,7.89,3.66,46.44,40.52,2.42,5.96
Dhenkanal,1100.34,556.92,50.61,39.20,1.47,3.76,159.87,68.36,42.76,7.54,11.07,146.83,3.04,4.32,142.16,169.71,27.46,16.18,213.79,18.32,8.57,18.20,6.82,37.46
Gajapati,538.69,256.02,47.53,11.77,2.85,24.21,62.18,20.53,33.01,25.05,5.79,23.10,5.03,4.16,82.75,31.50,11.08,35.18,22.07,11.23,50.89,34.80,11.48,33.00
