district,cumulative_till_30092025_total_application,disbursed_amount_in_rs_lakhs
Angul,65,50.64
Balangir,107,137.96
Balasore,164,165.23
Bargarh,130,137.81
Bhadrak,176,121.27
Boudh,45,38.39
Cuttack,281,345.59
Deogarh,22,6.09
Dhenkanal,131,117.30
Gajapati,113,99.51
Ganjam,404,414.92
Jagatsinghpur,25,34.19
Jajpur,105,86.71
Jharsuguda,67,76.33
Kalahandi,115,108.75
Kandhamal,23,15.27
Kendrapara,34,30.52
Keonjhar,46,30.22
Khordha,353,461.96
Koraput,129,167.37
Malkangiri,26,13.05
Mayurbhanj,61,44.44
Nabarangpur,22,15.71
Nayagarh,45,44.63
Nuapada,44,37.88
Puri,168,159.98
Rayagada,80,56.31
Sambalpur,143,156.46
Subarnapur,74,70.91
Sundargarh,100,92.81
