district,no_of_applications_accepted,no_of_applications_sanctioned,no_of_applications_pending,no_of_applications_rejected
Angul,3147,716,,2431
Balangir,1575,454,260,861
Balasore,4342,1386,,2956
Bargarh,1485,720,15,750
Bhadrak,1738,300,,1438
Boudh,282,12,,270
Cuttack,3892,1602,105,2185
Deogarh,78,45,,33
Dhenkanal,2780,1153,46,1581
Gajapati,636,204,,432
Ganjam,2683,563,161,1959
Jharsuguda,267,75,6,186
Kalahandi,1037,229,26,782
Kandhamal,760,132,45,583
Kendrapara,15764,3021,17,12726
Keonjhar,2405,1159,887,359
Khordha,1389,540,,849
Koraput,1279,462,74,743
Malkangiri,2125,313,62,1750
Mayurbhanj,1557,651,,906
Nabarangpur,1408,445,74,889
Nayagarh,565,42,,523
Nuapada,513,145,23,345
Puri,9290,2523,478,6289
Rayagada,2063,596,3,1464
Sambalpur,1218,556,20,642
Subarnapur,384,159,19,206
Sundargarh,1915,494,,1421
