district,target_to_bank_no_of_prj,mm_involved,forwarded_to_bank_no_of_prj,mm_involved,sanctioned_by_bank_no_of_prj,mm_involved,pct_achievement_no_of_prj,mm_involved,margin_money_claimed_no_of_prj,mm_involved,mm_disbursed_no_of_prj,mm_involved,returned_by_bank_no_of_prj,mm_involved,pending_at_bank_no_of_prj,mm_involved,pending_for_mm_disbursement_no_of_prj,mm_involved
Angul,158,587.76,114,713.08,22,114.17,13.92,19.42,64,275.49,77,254.8,19,102.85,80,521.6,47,216.3
Balangir,184,684.48,190,741.47,24,115.97,13.04,16.94,138,406.03,120,253.98,28,100.43,142,534.32,108,341.55
Balasore,194,721.68,221,968.85,32,115.49,16.49,16.00,141,500.59,101,247.33,36,152.93,164,724.81,115,428.26
Bargarh,161,598.92,186,652.91,26,90,16.15,15.03,148,428.52,155,385.09,20,44,149,549.16,109,323.05
Bhadrak,161,598.92,213,808.72,24,120.93,14.91,20.19,98,401.68,89,292.07,51,148.9,146,586.02,78,343.98
Boudh,138,513.36,53,288.6,7,20.93,5.07,4.08,61,250.24,31,78.96,10,36.15,35,228.02,43,207.94
Cuttack,189,703.08,498,1891.96,46,155.66,24.34,22.14,180,690.77,158,467.52,88,302.35,391,1506.33,144,564.35
Deogarh,130,483.6,35,146.27,7,33.16,5.38,6.86,35,132.64,43,110.77,4,6.73,26,112.24,32,127.39
Dhenkanal,173,643.56,156,737.3,40,139.44,23.12,21.67,100,374.75,73,179.14,23,85.34,111,572.2,83,345.01
Gajapati,151,561.72,53,174.6,12,29.37,7.95,5.23,33,136.64,30,90.02,25,54.31,20,98.38,22,99.06
Ganjam,224,833.28,345,1714.43,57,351.81,25.45,42.22,286,1259.51,212,698.61,54,207.54,273,1405.74,225,1036.37
Jagatsinghpur,156,580.32,131,636.35,15,106.55,9.62,18.36,66,281.53,59,175.36,36,109.31,88,463.41,47,219.73
Jajpur,181,673.32,269,1165.44,22,126.74,12.15,18.82,91,318.26,112,311.61,55,243.4,202,861.84,67,228.48
Jharsuguda,135,502.2,53,205.19,9,43.16,6.67,8.59,48,94.91,30,61.16,19,86.39,30,100.8,38,78.06
Kalahandi,186,691.92,62,238.06,13,50.06,6.99,7.23,72,222.02,60,142.32,9,21.13,49,205.87,44,157.96
Kandhamal,156,580.32,38,117.65,12,30.83,7.69,5.31,36,122.99,32,63.57,9,26.05,18,69.43,28,110.85
Kendrapara,163,606.36,164,569.03,17,94.65,10.43,15.61,80,240.98,94,217.26,19,77.02,135,469.97,58,196.16
Keonjhar,173,643.56,153,570.19,16,48.55,9.25,7.54,73,285.17,60,184.49,19,71.84,125,477.23,55,205.52
Koraput,176,654.72,102,469.24,9,52.81,5.11,8.07,59,308.12,60,120.82,29,101.84,67,341.01,37,263.26
Malkangiri,150,558,48,209.89,8,27.91,5.33,5.00,40,76.7,26,68.39,10,52.97,33,137.14,21,41.2
Mayurbhanj,202,751.44,297,917.45,34,166.2,16.83,22.12,110,343.08,154,363.31,41,114.95,234,700.18,75,263.78
Nabarangpur,171,636.12,102,298.57,7,30.73,4.09,4.83,51,113.66,46,92.41,25,53.21,74,230.86,35,88.21
Nayagarh,156,580.32,131,526.91,19,88.63,12.18,15.27,69,292.7,57,192.15,9,18.54,113,488.67,53,237.88
Nuapada,150,558,153,467.95,15,44.56,10.00,7.99,70,157.36,35,72.12,21,45.63,117,373.55,54,134.26
Puri,173,643.56,203,725.13,26,98.64,15.03,15.33,150,558.23,93,314.92,25,73.57,175,641.31,128,468.88
Rayagada,161,598.92,104,265.27,19,63.25,11.80,10.56,66,235.11,36,79.39,32,74.2,60,166.97,46,194.88
Sambalpur,150,558,187,674.31,12,81.2,8.00,14.55,74,230.35,32,93.23,17,44.6,163,597.33,55,159.66
Subarnapur,143,531.96,72,210.76,17,104.64,11.89,19.67,91,281.41,80,240.34,6,9.87,57,175.87,72,231.76
Sundargarh,176,654.72,172,834.6,11,30.49,6.25,4.66,106,239.23,61,162.75,23,75.92,142,732.33,68,154.84
