district,eligible_operative_savings_accounts_from_01042023_to_30092025_no_of_accounts,"of_which,_no_of_women_accounts",debit_rupay_cards_coverage_total_no_of_accounts_covered,pct_coverage,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts,internet_banking_coverage_total_no_of_accounts_covered,pct_coverage,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts,mobile_banking_+_upi_+_ussd_coverage_total_no_of_accounts_covered,pct_coverage,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts,aeps_coverage_total_no_of_accounts_covered,pct_coverage,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts
Angul,951135,430978,714445,75.11,286695,66.52,272927.4851,28.69,73149.24439,16.97,500498.1633,52.62,154283.2497,35.80,755381.252,79.42,345323.5812,80.13
Balangir,981104,496208,723515,73.74,330800,66.67,205174,20.91,60777,12.25,423797,43.20,143041,28.83,790960,80.62,405222,81.66
Balasore,1683771,827442,1225191,72.76,543520,65.69,385491.5789,22.89,109219.754,13.20,860058.4192,51.08,308968.2866,37.34,1292968.736,76.79,634399.2817,76.67
Bargarh,1009778,543723,726700,71.97,364977,67.13,224821,22.26,80225,14.75,449759,44.54,173834,31.97,836438,82.83,453275,83.37
Bhadrak,1206575,648058,934898,77.48,477975,73.75,239909.2479,19.88,70342.10898,10.85,531669.545,44.06,195026.9568,30.09,868029.345,71.94,452432.9838,69.81
Boudh,288711,147897,178978,61.99,78732,53.23,60022.54243,20.79,20703.90732,14.00,136065.1677,47.13,52102.71707,35.23,240060.2099,83.15,122499.1756,82.83
Cuttack,2419327,1233142,1759800,72.74,831067,67.39,685531,28.34,239733,19.44,1443599,59.67,578136,46.88,1731906,71.59,888155,72.02
Deogarh,169264,83625,117529,69.44,49979,59.77,50929,30.09,17667,21.13,79381,46.90,26696,31.92,141690,83.71,69082,82.61
Dhenkanal,798562,379624,591155,74.03,254237,66.97,189330,23.71,52176,13.74,376414,47.14,121663,32.05,632663,79.23,298075,78.52
Gajapati,438437,230556,262687,59.91,120499,52.26,81917.85102,18.68,25850.99029,11.21,186086.5824,42.44,69244.65049,30.03,350056.2957,79.84,186501.1165,80.89
Ganjam,2380412,1168777,1729080,72.64,745890,63.82,635482.8565,26.70,189818.751,16.24,1324945.64,55.66,453154.5818,38.77,1912758.721,80.35,962011.5307,82.31
Jagatsinghpur,937583,453892,653619,69.71,285254,62.85,227393.0974,24.25,71279.4996,15.70,573429.0729,61.16,230935.6377,50.88,693270.5843,73.94,344501.9242,75.90
Jajpur,1738792,959967,1330728,76.53,710580,74.02,328496,18.89,88472,9.22,811032,46.64,298309,31.07,1188863,68.37,624557,65.06
Jharsuguda,475598,222383,359964,75.69,151447,68.10,169955,35.74,53017,23.84,296410,62.32,100836,45.34,369035,77.59,178652,80.34
Kalahandi,863523,436561,634339,73.46,295229,67.63,180394,20.89,55294,12.67,348274,40.33,111682,25.58,736886,85.33,378789,86.77
Kandhamal,414032,213492,279263,67.45,130709,61.22,99609,24.06,35366,16.57,163382,39.46,57660,27.01,366360,88.49,190569,89.26
Kendrapara,1027653,502214,766232,74.56,354600,70.61,223605,21.76,67400,13.42,543380,52.88,197897,39.40,817855,79.58,408921,81.42
Keonjhar,1053083,572828,839468,79.72,445295,77.74,240296.0052,22.82,71535.09162,12.49,434556.4138,41.27,138565.385,24.19,724066.7967,68.76,371232.6143,64.81
Khordha,3241456,1539367,2530966,78.08,1080395,70.18,1383664,42.69,480038,31.18,2260750,69.74,828282,53.81,2289705,70.64,1121962,72.88
Koraput,730865,367397,476195,65.15,206546,56.22,182647,24.99,57946,15.77,341164,46.68,121065,32.95,604783,82.75,312695,85.11
Malkangiri,303412,156739,207788,68.48,96544,61.60,64389,21.22,22484,14.34,110147,36.30,37699,24.05,266176,87.73,139989,89.31
Mayurbhanj,1256701,627389,822112,65.42,354435,56.49,250696,19.95,85311,13.60,548660,43.66,181288,28.90,974664,77.56,492840,78.55
Nabarangpur,414438,215453,279075,67.34,124614,57.84,100004,24.13,35122,16.30,173015,41.75,62120,28.83,352985,85.17,186782,86.69
Nayagarh,655847,329944,481953,73.49,221679,67.19,144746,22.07,47050,14.26,298444,45.51,103744,31.44,496837,75.76,250870,76.03
Nuapada,450654,226120,296854,65.87,134137,59.32,72847.20563,16.16,22480.74354,9.94,192265.3915,42.66,68993.76525,30.51,386316.9362,85.72,196697.6308,86.99
Puri,1333310,704074,975979,73.20,472134,67.06,308538,23.14,109800,15.59,669457,50.21,272644,38.72,984633,73.85,518868,73.70
Rayagada,587694,302935,374701,63.76,166924,55.10,117350,19.97,36105,11.92,254090,43.24,90509,29.88,509710,86.73,266504,87.97
Sambalpur,951336,512216,651104,68.44,300287,58.63,294042.8526,30.91,104350.75,20.37,465097.5579,48.89,165206.4412,32.25,745601.5758,78.37,410694.6176,80.18
Subarnapur,425387,221703,323807,76.12,156275,70.49,83724.09046,19.68,22581.92857,10.19,154471.7784,36.31,46104.03571,20.80,341706.7353,80.33,177044.9643,79.86
Sundargarh,1981625,1065854,1532720,77.35,800817,75.13,570526,28.79,214363,20.11,928519,46.86,350569,32.89,1488663,75.12,784484,73.60
