district,allied_advance_fishery_t,a,pct,farm_credit_others_t,a,pct,total_farm_credit_t,a,pct,agriculture_infrastructure_storage_facilities_t,a,pct,"land_dev,_soil_conservation,_watershed_dev_t",a,pct,others_t,a,pct,total_agri_infra_t,a,pct
Angul,38.58,12.17,31.55,24.54,30.88,125.85,2891.33,1046.51,36.19,42.59,9.91,23.27,15.01,6.28,41.85,9.75,0.37,3.76,67.35,16.56,24.58
Balangir,57.92,11.45,19.78,3.36,28.63,852.60,4291.41,1995.06,46.49,250.02,7.87,3.15,14.64,13.92,95.11,18.73,0.15,0.82,283.40,21.95,7.74
Balasore,453.78,38.46,8.48,162.15,47.94,29.57,4274.18,1745.87,40.85,48.28,28.18,58.36,24.91,25.19,101.15,11.59,15.59,134.55,84.78,68.96,81.34
Bargarh,68.91,14.84,21.53,4.24,33.52,790.46,6372.64,2157.67,33.86,82.07,22.42,27.32,20.61,4.25,20.61,28.51,3.07,10.77,131.19,29.74,22.67
Bhadrak,83.77,22.50,26.86,6.43,20.51,318.98,3075.82,1312.35,42.67,72.93,17.37,23.82,21.73,20.80,95.70,32.46,29.30,90.24,127.13,67.46,53.07
Boudh,29.76,1.27,4.26,9.02,3.77,41.74,1301.41,493.15,37.89,45.43,4.90,10.77,11.29,7.65,67.82,9.55,0.09,0.96,66.27,12.64,19.08
Cuttack,85.64,22.06,25.76,126.56,68.93,54.47,3654.93,1869.94,51.16,91.44,16.35,17.88,2.85,37.70,1323.19,22.01,5.52,25.07,116.29,59.57,51.22
Deogarh,5.48,2.78,50.68,8.95,4.24,47.42,882.71,284.07,32.18,16.62,0.05,0.32,0.42,1.31,314.37,1.01,0.00,0.00,18.05,1.36,7.56
Dhenkanal,8.81,6.39,72.51,29.94,18.24,60.92,1750.43,719.36,41.10,4.76,5.15,108.10,13.27,2.20,16.58,1.63,0.43,26.12,19.66,7.77,39.53
Gajapati,18.70,5.74,30.72,2.94,10.33,351.26,752.73,339.22,45.06,13.71,0.82,5.96,10.24,4.54,44.32,4.01,0.08,1.89,27.95,5.43,19.43
Ganjam,283.36,145.92,51.50,4.85,166.65,3433.27,6379.13,3038.92,47.64,289.81,31.96,11.03,31.10,28.42,91.40,29.26,10.15,34.70,350.17,70.54,20.14
Jagatsinghpur,58.48,16.68,28.52,2.66,33.43,1257.79,2051.28,832.53,40.59,63.87,5.28,8.26,43.54,29.16,66.98,8.73,0.30,3.47,116.14,34.74,29.91
Jajpur,107.37,21.46,19.99,12.85,25.24,196.42,4170.36,1573.39,37.73,167.88,32.19,19.17,64.24,35.58,55.39,20.08,3.55,17.70,252.19,71.32,28.28
Jharsuguda,15.00,2.50,16.67,1.97,7.06,358.89,1184.16,387.93,32.76,530.27,565.93,106.72,12.01,8.84,73.59,15.42,1.09,7.10,557.70,575.86,103.26
Kalahandi,33.30,5.48,16.47,2.06,13.84,670.35,2905.32,1284.88,44.23,156.09,6.66,4.27,27.52,12.74,46.31,87.16,7.42,8.51,270.77,26.83,9.91
Kandhamal,6.55,1.16,17.67,0.86,3.73,431.35,927.70,351.63,37.90,6.46,0.58,8.98,5.27,2.99,56.62,1.03,0.00,0.00,12.76,3.57,27.94
Kendrapara,201.55,17.51,8.69,0.00,25.50,,3010.33,1303.38,43.30,44.63,6.85,15.34,10.03,18.54,184.83,3.75,0.72,19.21,58.41,26.11,44.70
Keonjhar,17.55,7.84,44.68,4.14,20.72,500.89,2166.77,799.92,36.92,88.31,20.91,23.67,1.02,2.75,268.48,55.66,0.31,0.56,145.00,23.97,16.53
Khordha,113.80,184.66,162.27,48.83,226.13,463.06,5006.64,4747.22,94.82,129.84,33.41,25.73,60.59,20.79,34.32,30.12,4.65,15.43,220.55,58.85,26.68
