district,branches_per_1_lakh_population,bcs_per_1_lakh_population,atms_per_1_lakh_population,banking_network_per_1_lakh_population
Angul,16.17,88.00,20.80,124.98
Balangir,12.80,122.38,11.89,147.06
Balasore,13.01,109.89,15.60,138.50
Bargarh,14.04,78.18,13.50,105.72
Bhadrak,11.48,111.33,15.67,138.48
Boudh,12.47,78.66,11.33,102.46
Cuttack,19.17,95.26,23.47,137.89
Deogarh,14.08,92.15,14.40,120.63
Dhenkanal,13.33,64.05,14.00,91.38
Gajapati,11.60,70.96,13.15,95.71
Ganjam,13.83,89.80,16.72,120.34
Jagatsinghpur,15.66,164.56,18.12,198.33
Jajpur,13.08,135.95,16.25,165.28
Jharsuguda,19.50,57.81,24.16,101.47
Kalahandi,11.29,107.43,10.46,129.18
Kandhamal,11.32,84.84,11.73,107.90
Kendrapara,10.55,70.05,13.33,93.93
Keonjhar,13.15,101.18,14.87,129.21
Khordha,34.73,116.58,53.07,204.38
Koraput,11.74,141.63,12.32,165.69
Malkangiri,10.93,81.05,8.81,100.78
Mayurbhanj,12.38,98.15,12.22,122.75
Nabarangpur,8.76,57.91,5.65,72.32
Nayagarh,14.23,152.99,15.37,182.59
Nuapada,12.94,83.23,12.45,108.62
Puri,15.01,132.45,17.66,165.12
Rayagada,12.50,68.39,13.12,94.02
Sambalpur,20.84,67.52,22.86,111.23
Subarnapur,14.75,127.83,15.08,157.66
Sundargarh,14.43,56.32,18.77,89.52
