district,no_of_blocks,no_of_gps,no_of_bhqs,total_gps_bhqs,no_of_service_ready_bhqs,no_of_service_ready_gps,no_of_service_ready_bhqs_gps,no_of_acitve_connectivity_bhqs_gps,pct_of_acitve_connectivity
Angul,8,219,8,227,8,219,227,189,83.26
Balangir,14,314,14,328,14,314,328,254,77.44
Balasore,10,71,0,71,0,71,71,42,59.15
Bargarh,12,253,12,265,12,253,265,234,88.30
Bhadrak,7,30,0,30,0,30,30,17,56.67
Boudh,2,6,0,6,0,6,6,1,16.67
Cuttack,11,31,0,31,0,31,31,21,67.74
Deogarh,3,10,0,10,0,10,10,8,80.00
Dhenkanal,7,15,0,15,0,15,15,10,66.67
Gajapati,5,21,0,21,0,21,21,12,57.14
Ganjam,13,28,0,28,0,28,28,17,60.71
Jagatsinghpur,3,4,0,4,0,4,4,3,75.00
Jajpur,7,31,0,31,0,31,31,25,80.65
Jharsuguda,5,78,5,83,5,78,83,76,91.57
Kalahandi,12,166,7,173,7,166,173,119,68.79
Kandhamal,7,12,0,12,0,12,12,6,50.00
Kendrapara,5,18,0,18,0,18,18,17,94.44
Keonjhar,8,97,4,101,4,97,101,90,89.11
Khordha,8,22,0,22,0,22,22,17,77.27
Koraput,14,239,14,253,14,239,253,184,72.73
Malkangiri,7,103,7,110,7,103,110,103,93.64
Mayurbhanj,18,81,4,85,4,81,85,46,54.12
Nabarangpur,10,189,10,199,10,189,199,159,79.90
Nayagarh,7,18,0,18,0,18,18,8,44.44
Nuapada,5,131,5,136,5,131,136,127,93.38
Puri,11,38,0,38,0,38,38,15,39.47
Rayagada,11,181,11,192,11,181,192,121,63.02
Sambalpur,9,138,9,147,9,138,147,138,93.88
Subarnapur,6,109,6,115,6,109,115,95,82.61
Sundargarh,17,279,17,296,17,279,296,274,92.57
