district,target_physical_3,financial_4,cumulative_sponsoring_physical_5,financial_6,cumulative_achievement_physical_7,financial_8,pct_achievement_physical_9_7_3,financial_10_8_4,average_loan_size_11_8_7
Angul,16130,79992.92,3528,23002.50,2191,13354.13,13.00,16.69,6.09
Balangir,12050,48264.76,2022,11871.75,1633,7161.30,13.00,14.84,4.39
Balasore,24770,129801.32,6817,51994.34,4677,28925.82,18.00,21.53,6.18
Bargarh,11750,54202.53,1730,10939.40,1348,7074.02,11.00,13.05,5.25
Bhadrak,17700,94260.46,3051,23278.00,2719,18392.18,15.00,19.51,6.76
Boudh,3980,19762.22,1087,6908.00,973,4944.62,24.00,25.02,5.08
Cuttack,24385,128411.50,11080,83570.65,6460,43823.82,26.00,34.13,6.78
Deogarh,4450,19006.23,1409,8110.18,1332,6849.88,29.00,36.04,5.14
Dhenkanal,12090,60443.04,3808,27501.93,1810,11796.10,14.00,19.52,6.52
Gajapati,6195,25042.46,761,5329.90,478,2619.70,13.00,18.36,5.48
Ganjam,31365,156287.15,8859,71156.59,5101,29970.79,16.00,19.11,5.88
Jajpur,19500,105695.60,5587,36145.12,4889,30001.04,25.00,28.38,6.14
Jharsuguda,4805,23310.25,1615,10282.90,1197,6530.17,24.00,28.01,5.46
Kalahandi,9985,40572.66,5300,30588.00,3022,13374.41,30.00,32.96,4.43
Kandhamal,7645,33990.77,1596,11378.50,701,3289.35,9.00,9.68,4.69
Kendrapara,15900,84865.11,4821,37502.00,2969,18058.96,18.00,21.28,6.08
Keonjhar,17035,81627.73,5229,36376.55,3668,23423.15,21.00,28.70,6.39
Khordha,19600,120937.00,8645,81446.30,3598,28692.06,18.00,23.72,7.97
Koraput,10045,40210.89,2073,12651.60,1559,7092.30,17.00,19.38,4.55
Malkangiri,4920,19951.28,1091,6252.00,872,4008.17,17.00,20.09,4.60
Mayurbhanj,26535,134164.63,2853,19276.25,2253,14071.15,8.00,10.52,6.25
Nabarangpur,7290,29662.25,1347,8060.80,864,3829.17,12.00,12.91,4.43
Nayagarh,11740,69681.05,2209,20287.00,1280,9648.35,10.00,13.85,7.54
Nuapada,5440,22154.19,1014,5437.50,658,2938.00,12.00,13.26,4.47
Puri,21415,114356.01,9761,88113.80,4005,29192.09,18.00,25.53,7.29
Rayagada,7120,30119.29,889,4673.50,731,2968.88,10.00,9.74,4.06
Sambalpur,8880,48655.99,2549,17952.80,1509,9033.50,18.00,19.79,5.99
Subarnapur,5790,24992.22,1579,11544.75,1073,5309.82,18.00,21.25,4.95
Sundargarh,17500,86820.75,4466,25979.80,2943,15169.69,16.00,17.47,5.15
