district,export_credit_t,a,pct,education_t,a,pct,housing_t,a,pct,renewable_energy_t,a,pct,others_t,a,pct,social_infra_t,a,pct,total_t,a,pct
Angul,10.20,1.20,11.77,30.60,9.16,29.95,203.00,45.25,22.29,29.50,3.75,12.70,341.80,109.33,31.99,15.81,11.44,72.34,8925.78,3788.75,42.45
Balangir,5.10,0.00,0.00,38.46,4.98,12.96,198.25,39.31,19.83,4.99,2.30,46.05,291.20,83.97,28.84,77.18,1.13,1.46,9349.34,4091.29,43.76
Balasore,1198.50,115.90,9.67,87.55,23.22,26.52,544.85,125.09,22.96,27.72,8.30,29.96,1013.28,400.03,39.48,274.51,22.80,8.31,12647.41,6555.62,51.83
Bargarh,5.10,0.00,0.00,27.10,5.96,22.00,281.94,48.33,17.14,23.11,8.23,35.63,401.91,66.49,16.54,8.70,3.31,38.05,10228.88,4131.13,40.39
Bhadrak,25.50,0.00,0.00,31.19,12.55,40.23,226.76,66.12,29.16,10.18,5.23,51.38,486.00,273.65,56.31,96.82,14.36,14.84,6226.77,3240.32,52.04
Boudh,5.10,0.00,0.00,7.23,0.91,12.64,123.42,9.62,7.79,4.67,1.38,29.55,95.60,22.65,23.69,10.84,0.94,8.68,2142.29,791.03,36.92
Cuttack,61.20,7.19,11.74,109.89,30.22,27.50,1167.85,254.44,21.79,5.75,32.10,558.74,1735.95,678.45,39.08,66.51,90.08,135.44,17154.21,9964.02,58.09
Deogarh,0.00,0.00,,8.08,1.13,13.96,28.73,1.96,6.82,4.62,0.76,16.57,151.08,13.00,8.60,6.84,0.28,4.03,1333.47,416.55,31.24
Dhenkanal,2.55,0.00,0.00,16.83,5.46,32.42,21.08,35.23,167.14,32.60,5.80,17.80,256.00,111.93,43.72,0.68,3.02,444.33,4479.81,1739.47,38.83
Gajapati,2.55,0.00,0.00,19.04,2.85,14.97,72.93,9.26,12.70,1.62,1.05,64.75,5.70,14.31,251.33,195.12,0.37,0.19,1727.38,632.89,36.64
Ganjam,2.55,23.46,920.17,112.46,21.16,18.82,718.05,244.81,34.09,70.21,10.03,14.28,1.46,1340.33,91784.90,793.48,0.77,0.10,16659.43,9871.70,59.26
Jagatsinghpur,2.55,18.46,723.73,110.48,7.25,6.56,96.73,23.54,24.34,4.79,5.54,115.54,415.36,77.61,18.69,99.92,3.07,3.07,5150.94,1900.25,36.89
Jajpur,2.55,0.10,3.89,39.58,13.00,32.84,153.09,70.24,45.88,3.59,7.30,203.72,443.08,203.08,45.83,24.74,6.86,27.75,9212.21,3996.66,43.38
