district,"coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards,_in",pct_coverage,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts,no_of_operative_sb_accounts_ineligible_for_digital_coverage_as_per_banks_board_a,digital_coverage_for_businesses_current_accounts_total_no_of_eligible_operative,eligible_operative_current_business_accounts_covered_through_net_banking_no_of_a,pct_coverage,eligible_operative_current_business_accounts_covered_with_pos_qr_no_of_accounts,pct_coverage,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_no,pct_coverage,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facili,pct_coverage,no_of_operative_current_business_accounts_ineligible_for_digital_coverage_as_per
Angul,913116,96.00,414254,96.12,88503,28628,20414,71.31,8387.106383,29.30,15754,55.03,25658,89.63,1747
Balangir,957381,97.58,483414,97.42,52424,25827,19067,73.83,6685,25.88,12012,46.51,23223,89.92,1490
Balasore,1634401,97.07,802353,96.97,98196,41042,28055,68.36,11782.51553,28.71,21375,52.08,37256,90.78,1838
Bargarh,986461,97.69,532263,97.89,87008,24465,16610,67.89,8530,34.87,11227,45.89,21295,87.04,2094
Bhadrak,1167974,96.80,629119,97.08,70461,28653,20319,70.91,7018.719424,24.50,13701,47.82,24794,86.53,1078
Boudh,280336,97.10,143228,96.84,14882,7216,5213,72.24,3377.848148,46.81,3736,51.77,6238,86.45,314
Cuttack,2314032,95.65,1179758,95.67,102110,65286,46061,70.55,18897,28.94,33439,51.22,57887,88.67,5484
Deogarh,161846,95.62,79072,94.56,9568,6461,4539,70.25,3385,52.39,3894,60.27,5480,84.82,194
Dhenkanal,768271,96.21,364886,96.12,54088,16212,11478,70.80,5900,36.39,8542,52.69,14339,88.45,1074
Gajapati,412560,94.10,215905,93.65,16575,7747,4447,57.40,2897.888889,37.41,3751,48.42,5708,73.68,354
Ganjam,2289496,96.18,1123911,96.16,127627,53559,37740,70.46,15857.14516,29.61,27361,51.09,47617,88.91,3275
Jagatsinghpur,886849,94.59,429191,94.56,29974,19140,10681,55.80,7151.477612,37.36,10179,53.18,15650,81.77,2252
Jajpur,1673856,96.27,928429,96.71,89948,36410,25344,69.61,8233,22.61,16131,44.30,31600,86.79,2676
Jharsuguda,464526,97.67,216249,97.24,21650,18611,13501,72.54,6404,34.41,10833,58.21,16492,88.61,692
Kalahandi,847656,98.16,428602,98.18,50407,16092,10981,68.24,4865,30.23,6366,39.56,13868,86.18,1109
Kandhamal,402354,97.18,207168,97.04,12470,8774,6239,71.11,2671,30.44,3163,36.05,7659,87.29,344
Kendrapara,984249,95.78,479162,95.41,86479,17550,11597,66.08,6732,38.36,8357,47.62,15811,90.09,1550
Keonjhar,1033101,98.10,562268,98.16,81072,32815,25303,77.11,7533.863636,22.96,15972,48.67,29378,89.53,2085
Khordha,3159514,97.47,1502050,97.58,185089,129280,91251,70.58,36542,28.27,65048,50.32,113339,87.67,11619
Koraput,709481,97.07,357866,97.41,51340,21617,14973,69.26,5075,23.48,9484,43.87,18355,84.91,799
Malkangiri,294289,96.99,151652,96.75,37978,8844,5976,67.57,2590,29.29,4121,46.60,7178,81.16,374
Mayurbhanj,1184057,94.22,592264,94.40,51833,22207,15652,70.48,7604,34.24,9733,43.83,20114,90.58,1064
Nabarangpur,403554,97.37,209407,97.19,21784,11333,7502,66.20,3699,32.64,5367,47.36,9249,81.61,392
Nayagarh,625406,95.36,316236,95.85,115001,16455,9855,59.89,5992,36.41,7958,48.36,13522,82.18,463
Nuapada,441116,97.88,221262,97.85,88213,10613,6592,62.11,3476.6,32.76,4675,44.05,8948,84.31,1099
Puri,1277561,95.82,675490,95.94,83867,30967,18884,60.98,9047,29.21,14045,45.35,26043,84.10,2629
Rayagada,572213,97.37,295531,97.56,28966,13219,9026,68.28,4247,32.13,5486,41.50,11449,86.61,721
Sambalpur,910148,95.67,489803,95.62,45083,26309,18288,69.51,8014.357143,30.46,13703,52.08,23124,87.89,1370
Subarnapur,413459,97.20,215346,97.13,49111,9745,6245,64.08,3664.753846,37.61,4585,47.05,8084,82.96,460
Sundargarh,1902021,95.98,1037775,97.37,83227,43813,32921,75.14,10730,24.49,19783,45.15,39375,89.87,2704
