district,pmjjby_name_of_insuran_ce_compa_ny,fy_2025_26_no_of_pmjjby_claims_setteled_during_current_financial_year_from_01042,amount_in_rs,cumulative_no_of_pmjjby_claims_setteled_cumulativ_e,amount_in_rs,no_of_rejected_claims,no_of_pending_claims,district_wise_pmsby_claims_as_on_30092025_pmsby_name_of_insuran_ce_compa_ny,fy_2025_26_no_of_pmsby_claims_setteled_during_current_financial_year_from_010420,amount_in_rs,cumulative_no_of_pmsby_claims_setteled_cumulativ_e,amount_in_rs,no_of_rejected_claims,no_of_pending_claims
Angul,,119,23800000,1131,226200000,36,41,0,18,3500000,214,42700000,36,14
Balangir,,149,29800000,1828,365600000,99,40,0,17,3400000,304,60700000,32,9
Balasore,,97,19400000,1159,231800000,51,42,0,28,5600000,307,59240000,55,22
Bargarh,,165,33000000,1318,263600000,35,20,0,19,3800000,197,39400000,39,16
Bhadrak,,54,10800000,479,95800000,21,13,0,19,3800000,187,37400000,22,8
Boudh,,38,7600000,322,64484898,3,2,0,9,1800000,74,14800000,9,6
Cuttack,,108,21600000,1565,313000000,66,47,0,25,5000000,307,61200000,57,23
Deogarh,,40,8000000,271,54200000,6,2,0,7,1400000,90,18000000,14,5
Dhenkanal,,122,24400000,1545,309000000,71,52,0,31,6200000,308,61300000,36,21
Gajapati,,29,5800000,290,58000000,9,1,0,4,800000,68,13500000,4,3
Ganjam,,286,57200000,2418,483600000,37,31,0,27,5400000,341,68000000,59,17
Jagatsinghpur,,57,11400000,555,111000000,23,12,0,16,3200000,156,30800000,24,4
Jajpur,,72,14400000,912,182400000,30,24,0,24,4800000,308,61400000,42,21
Jharsuguda,,88,17600000,558,111600000,14,7,0,12,2400000,127,25200000,13,7
Kalahandi,,101,20200000,849,169800000,12,9,0,21,4200000,162,32400000,16,7
Kandhamal,,47,9400000,383,76600000,11,3,0,15,3000000,127,25300000,23,8
Kendrapara,,44,8800000,448,89600000,14,9,0,13,2600000,140,28000000,21,10
Keonjhar,,70,14000000,779,155800000,29,37,0,41,8200000,301,60000000,34,18
Khordha,,110,22000000,1211,242200000,38,40,0,43,8600000,377,75300000,55,17
Koraput,,47,9400000,550,110000000,2,15,0,11,2100000,120,23900000,11,3
Malkangiri,,36,7200000,303,60600000,6,6,0,5,1000000,72,14400000,6,4
Mayurbhanj,,144,28800000,1497,299400000,52,76,0,23,4600000,218,43600000,49,24
Nabarangpur,,56,11200000,565,113000000,12,7,0,5,1000000,78,15600000,7,4
Nayagarh,,59,11800000,812,162400000,17,20,0,13,2600000,130,25900000,24,13
Nuapada,,63,12600000,506,101200000,9,14,0,7,1400000,98,19600000,14,2
Puri,,64,12800000,912,182400000,33,25,0,27,5400000,231,46200000,35,12
Rayagada,,94,18800000,739,147800000,11,17,0,15,3000000,152,30400000,15,1
Sambalpur,,112,22400000,933,186600000,20,8,0,23,4600000,222,44000000,42,16
Subarnapur,,49,9800000,480,96000000,7,11,0,8,1600000,99,19800000,13,6
Sundargarh,,174,34800000,1443,288600000,31,10,0,23,4600000,296,58700000,88,14
