district,shishu_no_of_a_cs,sanctione_d_amt,disburse_ment_amt,kishor_no_of_a_cs,sanctione_d_amt,disburse_ment_amt,tarun_no_of_a_cs,sanctione_d_amt,disburse_ment_amt,tarun_plus_no_of_a_cs,sanctione_d_amt,disburse_ment_amt,total_no_of_a_cs,sanctione_d_amt,disburse_ment_amt
Angul,14370,55.51,55.37,14324,146.63,145.64,825,67.27,65.65,10,1.59,1.59,29529,271,268.25
Balangir,14424,56.95,56.65,18847,175.82,174.38,728,58.06,56.14,12,1.46,1.39,34011,292.29,288.56
Balasore,19661,73.77,73.52,21658,247.85,244.62,1712,140.72,136.15,20,3.01,2.97,43051,465.34,457.26
Bargarh,15592,57.57,57.42,15425,159.79,158.43,847,70.89,68.91,11,1.5,1.5,31875,289.75,286.26
Bhadrak,19129,76.26,76.21,21095,214.91,213.6,1467,123.38,117.45,24,3.09,3.05,41715,417.65,410.31
Boudh,3174,12.52,12.48,3924,41.51,40.91,233,19.13,18.46,7,1.07,1.07,7338,74.24,72.93
Cuttack,26233,101.4,101.12,31761,344.68,340.81,2420,203.14,196.48,62,7.98,7.67,60476,657.2,646.07
Deogarh,2243,8.64,8.48,1340,18.3,17.59,247,20.46,19.68,3,0.5,0.5,3833,47.9,46.25
Dhenkanal,12528,47.95,47.77,12796,124.61,123.6,778,64.62,59.95,36,5.17,5.17,26138,242.36,236.49
Gajapati,3301,12.26,12.22,3017,34.8,33.99,243,19.64,18.48,2,0.27,0.27,6563,66.97,64.96
Ganjam,24295,95.51,95.18,32259,370.92,367.31,3153,262.11,255.49,30,4.51,4.51,59737,733.06,722.49
Jagatsinghpur,13229,50.27,50.24,18479,173.7,172.03,1211,100.13,95.85,24,3.15,3.12,32943,327.25,321.25
Jajpur,17528,69.36,69.28,19302,215.95,214.75,1430,118.41,117.1,27,3.98,3.98,38287,407.7,405.11
Jharsuguda,5802,21.81,21.61,6610,70.91,69.7,455,37.34,35.77,10,1.45,1.45,12877,131.5,128.53
Kalahandi,12746,48.84,48.77,10624,106.75,106.31,640,52.91,51.51,7,1.28,1.28,24017,209.78,207.86
Kandhamal,5018,18.98,18.93,3060,37.99,37.5,320,26.37,24.29,0,0,0,8398,83.34,80.73
Kendrapara,6039,22.76,22.69,7179,91.65,89.67,1002,84.09,80.16,10,1.48,1.48,14230,199.99,194.01
Keonjhar,10037,37.91,37.59,9401,124.78,121.84,1705,146.19,140.27,31,4.27,3.99,21174,313.16,303.69
Khordha,29465,114.66,114.46,41307,463.8,457.15,3711,811.92,796.3,83,11.5,11.36,74566,1401.88,1379.28
Koraput,12148,45.08,44.83,8008,89.68,88.73,653,54.35,53.45,13,2.17,2.17,20822,191.29,189.18
Malkangiri,4057,15.49,15.36,3162,35.35,35,274,20.87,20.79,0,0,0,7493,71.7,71.15
Mayurbhanj,21418,76.93,76.37,14729,179.09,173.56,2642,216.49,186.85,47,6.1,6.1,38836,478.61,442.89
Nabarangpur,4297,16.4,16.32,4590,50.34,49.86,441,35.35,34.6,7,0.89,0.87,9335,102.98,101.65
Nayagarh,8789,35.72,35.6,12494,131.29,128.96,989,80.94,75.18,11,1.48,1.48,22283,249.43,241.22
Nuapada,4995,19.81,19.68,4838,45.78,45.25,235,18.82,18.42,3,0.27,0.27,10071,84.68,83.61
Puri,16059,59.33,59.2,19753,226.25,223.44,1545,130.2,122.97,37,5.02,5.02,37394,420.8,410.64
Rayagada,7329,28.01,27.9,6742,71.36,70.81,394,32.09,31.66,3,0.41,0.41,14468,131.87,130.79
Sambalpur,14142,55.14,54.84,14898,141.51,139.52,936,76.85,75.23,11,1.66,1.56,29987,275.16,271.15
Subarnapur,6690,25.56,25.36,9406,92.01,91.03,485,39.41,38.61,5,0.61,0.61,16586,157.59,155.61
Sundargarh,15932,59.66,58.96,19970,215.09,211.01,1387,111.72,103.08,21,3.07,2.98,37310,389.55,376.03
