district,col_2,march_2025,june_2025,september_2025_total_deposit,col_6,total_advance_utilized_in_the_state,col_8,cd_ratio
Angul,,63.46,62.16,22605.38,14716.86,,,65.10
Balangir,,80.00,79.75,10406.08,8467.01,,,81.37
Balasore,,65.18,67.46,21916.15,14473.75,,,66.04
Bargarh,,81.60,72.85,10817.71,8944.58,,,82.68
Bhadrak,,75.89,68.60,10907.49,7470.13,,,68.49
Boudh,,87.65,87.40,2518.94,2179.93,,,86.54
Cuttack,,61.97,60.18,46987.73,29072.66,,,61.87
Dhenkanal,,76.85,79.52,10317.92,8282.95,,,80.28
Ganjam,,64.85,65.93,34018.81,22780.57,,,66.96
Jajpur,,86.41,81.51,17555.83,14691.31,,,83.68
Jharsuguda,,219.42,206.27,11143.51,20559.49,,,184.50
Kalahandi,,118.22,85.45,7488.98,6605.99,,,88.21
Khordha,,72.45,75.48,218686.37,154678.63,,,70.73
Koraput,,66.23,64.82,9668.89,6259.77,,,64.74
Nabarangpur,,80.57,81.12,3714.61,3141.07,,,84.56
Nayagarh,,81.05,77.57,6512.36,5036.35,,,77.34
Nuapada,,66.27,67.89,3014.51,2092.54,,,69.42
Sambalpur,,99.47,95.19,30873.48,27285.07,,,88.38
Subarnapur,,85.91,74.41,3650.75,2963.45,,,81.17
Sundargarh,,66.86,64.74,35950.34,24860.50,,,69.15
