district,branches_rural,semi_urban,urban,total_branche_s,banking_correspondent_rural,semi_urban,urban,total_bc,out_of_total_bcs_male_bcs,out_of_total_bcs_female_bcs,out_of_total_bcs_transgend_er_bcs,out_of_total_bcs_wshg_members,out_of_total_bcs_fixed_bc_points,out_of_total_bcs_no_of_active_bcs,atms_rural,semi_urban,urban,total_atms
Angul,114,87,5,206,878,122,121,1121,818,234,69,77,793,878,72,189,4,265
Balangir,105,101,5,211,1345,486,187,2018,1683,335,0,126,1554,1875,24,169,3,196
Balasore,184,63,55,302,1888,338,324,2550,1777,767,0,303,1987,2108,103,93,166,362
Bargarh,122,81,5,208,932,176,50,1158,939,217,0,98,972,1099,54,141,5,200
Bhadrak,113,24,36,173,1356,137,184,1677,1241,418,0,154,1321,1437,53,24,159,236
Boudh,33,22,0,55,289,58,0,347,269,42,30,13,296,279,4,46,0,50
Cuttack,242,41,220,503,1819,72,609,2500,1858,611,29,81,1912,2259,159,65,392,616
Deogarh,24,19,1,44,226,46,16,288,199,68,24,17,244,234,10,35,0,45
Dhenkanal,98,60,1,159,609,153,2,764,556,166,41,55,574,613,45,118,4,167
Gajapati,42,23,2,67,318,92,0,410,282,130,0,116,320,358,22,49,5,76
Ganjam,214,161,113,488,2367,368,434,3169,2482,710,20,207,2474,2906,107,217,266,590
Jagatsinghpur,118,58,2,178,1501,106,264,1871,1356,451,63,50,1532,1705,66,137,3,206
Jajpur,174,62,3,239,1989,180,315,2484,1912,593,13,138,1954,2272,117,179,1,297
Jharsuguda,40,72,1,113,223,72,40,335,255,67,11,22,232,282,11,128,1,140
Kalahandi,106,69,3,178,1428,133,133,1694,1456,233,2,85,1365,1498,77,87,1,165
Kandhamal,42,41,0,83,414,208,0,622,485,136,0,82,453,538,12,74,0,86
Kendrapara,104,47,1,152,703,216,90,1009,678,242,89,61,718,790,59,131,2,192
Keonjhar,128,109,0,237,1341,170,312,1823,1486,286,51,58,1521,1607,63,205,0,268
Khordha,184,70,528,782,1407,129,1089,2625,1794,826,0,96,2089,2459,132,159,904,1195
Koraput,88,66,8,162,1633,144,177,1954,1700,248,2,86,811,1844,30,135,5,170
Malkangiri,43,22,2,67,402,89,6,497,400,72,23,36,372,402,14,40,0,54
Mayurbhanj,208,53,51,312,1740,222,511,2473,1837,631,0,289,1826,2209,110,91,107,308
Nabarangpur,64,41,2,107,484,204,19,707,546,89,66,31,535,557,8,60,1,69
Nayagarh,93,44,0,137,927,385,161,1473,1196,276,0,139,992,1302,66,82,0,148
Nuapada,47,32,0,79,452,55,1,508,396,59,48,35,372,395,31,45,0,76
Puri,162,30,63,255,1607,132,511,2250,1662,503,90,117,1756,1968,100,47,153,300
Rayagada,72,47,2,121,574,62,26,662,557,93,10,30,425,522,36,90,1,127
Sambalpur,82,35,100,217,462,78,163,703,540,129,30,50,475,576,28,39,171,238
Subarnapur,56,32,2,90,607,112,61,780,682,71,19,26,604,670,19,72,1,92
Sundargarh,134,55,113,302,876,172,131,1179,833,343,0,111,904,1020,92,100,201,393
