district,sanction_target_fy2025_26_3000,application_sponsored_1720,loan_sanctioned_499,achievement_sanctioned_pct_1663pct,loan_disbursed_361,loan_rejected_757,deficit_for_sanction_2501,pending_at_bank_incl_addl_docs_1364,cumulative_sanction_2625
Angul,90,40,27,30.00,10,2,63,20,79
Balangir,91,20,12,13.19,10,3,79,10,73
Balasore,170,123,30,17.65,21,44,140,98,151
Bargarh,135,55,18,13.33,13,20,117,46,101
Bhadrak,142,84,21,14.79,8,25,121,62,90
Boudh,50,10,1,2.00,2,7,49,11,9
Cuttack,206,168,41,19.90,28,70,165,130,242
Deogarh,40,4,1,2.50,1,2,39,3,10
Dhenkanal,90,17,5,5.56,8,14,85,26,58
Gajapati,42,28,10,23.81,13,17,32,30,43
Ganjam,237,211,77,32.49,87,111,160,161,554
Jharsuguda,50,23,5,10.00,4,7,45,24,29
Kalahandi,50,16,5,10.00,2,5,45,16,30
Kandhamal,40,4,1,2.50,2,4,39,4,12
Kendrapara,102,25,10,9.80,7,14,92,23,64
Keonjhar,50,37,6,12.00,5,3,44,34,23
Khordha,223,226,85,38.12,44,96,138,152,243
Koraput,105,49,17,16.19,11,11,88,39,70
Malkangiri,50,13,4,8.00,3,7,46,14,23
Mayurbhanj,108,36,11,10.19,8,20,97,42,43
Nabarangpur,50,10,0,0.00,1,3,50,13,18
Nayagarh,80,40,13,16.25,4,7,67,38,110
Nuapada,50,6,2,4.00,2,3,48,7,10
Puri,218,270,54,24.77,35,137,164,191,299
Rayagada,125,14,9,7.20,11,17,116,14,53
Sambalpur,72,19,4,5.56,6,21,68,18,27
Subarnapur,69,18,4,5.80,2,3,65,19,45
Sundargarh,100,41,6,6.00,2,7,94,34,31
