district,applications_sourced_no,amt_in_lakhs,applications_sanctioned_no,amt_in_lakhs,applications_disbursed_no,amt_in_lakhs,applications_rejected_no,amt_in_lakhs,applications_pending_no,amt_in_lakhs
Angul,3486,7130.47,1635,3056.86,1411,2145.03,1410,2878.24,422,859.63
Balangir,2380,4846.26,1068,1963.21,906,1371.58,988,2023.41,316,637.38
Balasore,2334,4651.17,1003,1810.75,843,1195.21,902,1762.74,421,864.02
Bargarh,1740,3518.02,704,1321.64,588,885.66,801,1586.03,226,459.93
Bhadrak,1446,2938.23,674,1253.09,588,836.88,542,1095.26,227,461.37
Boudh,1865,3748.74,633,1147.39,530,750.91,815,1619.11,411,846.60
Cuttack,2235,4402.97,620,1114.52,513,733.74,1087,2136.79,520,1030.34
Deogarh,1576,3207.31,563,1046.54,487,724.31,681,1380.50,325,657.26
Dhenkanal,1460,2999.60,513,955.89,412,574.67,709,1444.96,229,470.53
Gajapati,1269,2224.80,503,823.58,376,486.57,569,956.63,194,342.58
Ganjam,1138,2340.34,502,921.65,418,608.27,396,820.47,237,490.04
Jharsuguda,1432,2751.49,429,778.34,355,520.01,854,1580.99,146,308.86
Kalahandi,1184,2335.01,427,770.08,386,538.59,500,974.81,256,494.70
Kandhamal,1183,2305.01,361,653.22,305,456.98,569,1091.12,252,498.58
Kendrapara,999,1999.31,337,607.97,294,443.18,474,945.07,186,374.01
Keonjhar,802,1631.01,323,587.64,263,355.05,336,681.38,141,286.95
Khordha,530,1052.05,270,486.86,238,333.69,183,367.55,76,154.61
Koraput,649,1276.56,247,458.41,201,267.63,310,602.87,92,186.22
Malkangiri,1018,2027.86,246,448.71,210,323.17,427,824.50,342,696.12
Mayurbhanj,611,1225.60,245,455.07,213,279.58,248,488.28,117,234.93
Nabarangpur,549,1082.24,178,331.43,145,202.07,248,484.62,123,241.83
Nayagarh,646,1278.40,142,256.49,120,166.01,365,713.28,138,273.33
Nuapada,753,1546.53,128,236.62,86,117.96,478,974.23,146,308.05
Puri,560,1098.60,122,228.32,104,142.09,331,634.43,107,214.15
Rayagada,344,679.78,105,194.73,84,123.32,166,326.67,73,138.04
Sambalpur,684,1169.91,70,114.16,39,49.37,487,809.27,127,232.28
Subarnapur,195,374.24,60,113.68,52,79.42,99,179.70,36,71.51
Sundargarh,250,513.73,40,70.17,29,41.47,156,318.10,54,112.71
