district,ancillary_ativities_food_and_agro_processing_t,a,pct,others_t,a,pct,total_ancillary_activities_t,a,pct,total_agri_t,a,pct,"micro,_small_and_medium_enterprises_micro_manufacturing_t",a,pct,micro_services_t,a,pct,small_manufacturing_t,a,pct
Angul,98.11,35.22,35.90,60.86,37.14,61.03,158.97,72.36,45.52,3117.65,1135.43,36.42,3125.11,498.47,15.95,198.69,582.78,293.31,515.10,366.47,71.15
Balangir,313.07,181.95,58.12,756.08,50.81,6.72,1069.14,232.76,21.77,5643.95,2249.77,39.86,125.78,368.09,292.64,61.67,394.64,639.94,319.60,221.28,69.24
Balasore,42.85,118.15,275.70,78.71,103.27,131.20,121.56,221.42,182.14,4480.52,2036.25,45.45,293.59,672.53,229.07,99.88,785.27,786.25,1474.75,709.72,48.12
Bargarh,94.94,254.18,267.71,19.59,12.10,61.77,114.53,266.27,232.49,6618.36,2453.68,37.07,833.97,387.52,46.47,129.03,388.02,300.72,954.11,300.00,31.44
Bhadrak,41.19,47.64,115.67,102.17,73.74,72.18,143.36,121.39,84.67,3346.31,1501.20,44.86,1712.75,335.80,19.61,0.00,419.31,,133.19,171.72,128.92
Boudh,35.91,12.96,36.08,49.51,2.90,5.87,85.43,15.86,18.57,1453.10,521.65,35.90,117.64,52.65,44.75,49.30,57.73,117.09,112.20,40.32,35.94
Cuttack,228.36,253.03,110.80,1361.62,74.54,5.47,1589.98,327.57,20.60,5361.20,2257.08,42.10,1457.33,945.25,64.86,533.04,1282.10,240.53,1823.25,1222.86,67.07
Deogarh,4.92,1.57,31.87,0.64,1.83,287.32,5.56,3.40,61.17,906.31,288.83,31.87,51.61,25.10,48.63,37.66,57.74,153.33,20.40,10.50,51.49
Dhenkanal,273.67,37.85,13.83,0.00,15.61,,273.67,53.46,19.54,2043.76,780.60,38.19,135.41,186.82,137.97,165.50,202.06,122.09,422.28,109.89,26.02
Gajapati,77.94,26.53,34.04,29.11,1.68,5.78,107.05,28.22,26.36,887.74,372.86,42.00,108.04,73.88,68.39,127.50,80.99,63.52,56.10,21.63,38.56
Ganjam,393.17,442.26,112.49,26.94,121.05,449.27,420.12,563.32,134.09,7149.41,3672.78,51.37,1331.20,1052.09,79.03,489.81,1063.17,217.06,1647.30,528.37,32.07
Jagatsinghpur,95.67,8.60,8.99,26.99,25.00,92.63,122.66,33.60,27.40,2290.08,900.87,39.34,44.71,209.04,467.54,37.78,286.42,758.09,1561.45,117.90,7.55
Jajpur,38.59,47.83,123.95,61.29,23.62,38.55,99.88,71.45,71.54,4522.43,1716.16,37.95,724.17,370.81,51.21,925.33,503.97,54.46,724.17,387.50,53.51
Jharsuguda,95.37,15.04,15.77,136.98,129.06,94.22,232.35,144.10,62.02,1974.21,1107.89,56.12,784.13,325.81,41.55,807.29,347.86,43.09,476.00,345.28,72.54
Kalahandi,6.40,113.20,1768.63,254.91,19.39,7.60,261.32,132.59,50.74,3437.40,1444.29,42.02,135.86,337.77,248.61,0.00,287.64,,283.05,209.72,74.09
Kandhamal,42.33,2.57,6.08,5.10,4.42,86.75,47.43,7.00,14.75,987.90,362.20,36.66,158.10,71.05,44.94,61.63,77.04,125.01,306.00,45.73,14.95
Kendrapara,58.23,18.03,30.96,25.29,42.36,167.53,83.52,60.39,72.31,3152.26,1389.89,44.09,239.34,234.48,97.97,541.45,215.44,39.79,143.65,101.48,70.64
Keonjhar,11.49,22.30,194.03,33.15,125.31,378.02,44.64,147.61,330.66,2356.40,971.50,41.23,4.59,268.52,5850.05,16.57,532.92,3215.18,28.05,298.74,1065.02
Khordha,79.46,665.90,838.01,3162.00,730.82,23.11,3241.46,1396.73,43.09,8468.65,6202.80,73.24,1943.10,2206.26,113.54,1275.00,2926.69,229.54,2550.00,3128.91,122.70
Koraput,118.30,133.39,112.76,606.68,20.63,3.40,724.98,154.03,21.25,2760.55,1003.68,36.36,0.00,363.77,,5.99,329.78,5507.88,174.58,191.77,109.85
Malkangiri,3.19,7.80,244.64,12.54,4.33,34.56,15.73,12.13,77.15,673.22,385.55,57.27,25.30,52.35,206.95,10.29,73.28,712.46,55.25,45.03,81.50
Mayurbhanj,133.57,26.78,20.05,115.09,186.83,162.34,248.66,213.62,85.91,3012.49,1279.13,42.46,464.36,236.00,50.82,513.40,552.07,107.53,321.30,157.07,48.89
Nabarangpur,87.13,21.64,24.83,56.95,23.09,40.54,144.07,44.73,31.04,1428.04,736.31,51.56,130.65,128.19,98.11,158.01,130.67,82.70,45.93,54.53,118.73
Nayagarh,20.71,29.90,144.37,150.91,19.61,13.00,171.62,49.51,28.85,2329.96,1141.18,48.98,422.13,150.97,35.76,69.79,240.07,344.00,186.41,70.45,37.79
