district,forwarded_to_banks_as_on_30092025_including_the_pe_no_of_a_c,nadminogu_nt_in_rs_lakhs,sanctioned_by_bank_from_01042025_to_30092025_no_of_a_c,amount_in_rs_lakhs,returned_as_on_30092025_no_of_a_c,amount_in_rs_lakhs,pending_as_on_30092025_no_of_a_c,amount_in_rs_lakhs
Angul,68,35.50,10,5,0,0,58,30.50
Balangir,78,41.5,2,1,0,0,76,40.50
Balasore,84,50,7,4.5,0,0,77,45.50
Bargarh,115,60.5,2,0,0,0,113,60.50
Bhadrak,132,94.00,14,11,0,0,118,83.00
Boudh,7,3.5,0,0,0,0,7,3.50
Cuttack,186,110.8,5,2.5,0,0,181,108.30
Deogarh,54,40,1,1,0,0,53,39.00
Dhenkanal,156,116.5,4,2.5,0,0,152,114.00
Gajapati,73,37.5,1,0.5,0,0,72,37.00
Ganjam,75,56,3,2,0,0,72,54.00
Jagatsinghpur,118,62.5,6,6,0,0,112,56.50
Jajpur,174,95,1,0.5,0,0,173,94.50
Jharsuguda,9,5,1,1,0,0,8,4.00
Kalahandi,121,68.5,2,2,0,0,119,66.50
Kandhamal,35,16.2,1,0.5,0,0,34,15.70
Kendrapara,70,36,18,9,0,0,52,27.00
Keonjhar,107,54.5,1,0.5,0,0,106,54.00
Khordha,112,92,4,2,0,0,108,90.00
Koraput,46,24.5,1,0.5,0,0,45,24.00
Malkangiri,6,3,0,0,0,0,6,3.00
Mayurbhanj,12,7,0,0,0,0,12,7.00
Nabarangpur,16,10.49,4,3.492,0,0,12,7.00
Nayagarh,57,35.5,6,3,0,0,51,32.50
Nuapada,0,0,0,0,0,0,0,0.00
Puri,83,46.5,9,5.5,0,0,74,41.00
Rayagada,13,6.5,1,0.5,0,0,12,6.00
Sambalpur,64,32,0,0,0,0,64,32.00
Subarnapur,67,33.5,1,0.5,0,0,66,33.00
Sundargarh,22,11,0,0,0,0,22,11.00
