District,sc_st_loans,sc_st_amount,women_loans,women_amount,total_loans,total_amount
Agra,748.0,5457.9,497.0,101.4,,
Aligarh,4578.0,27171.81,312.0,64.05,,
Ambedkar Nagar,3668.0,12233.5,64.0,9.23,,
Amethi,1157.0,3827.4,31.0,4.69,,
Amroha,45.0,9.06,41.0,8.52,,
Auraiya,655.0,2638.84,25.0,4.07,,
Ayodhya,336.0,1315.6,136.0,17.62,,
Azamgarh,1244.0,3560.24,55.0,9.0,,
Bahraich,59.0,276.19,23.0,4.48,,
Ballia,211.0,861.31,51.0,9.4,,
Balrampur,95.0,257.0,,,,
Banda,65.0,238.63,26.0,5.44,,
Barabanki,298.0,1660.49,68.0,12.48,,
Bareilly,906.0,4002.64,238.0,44.89,,
Basti,4637.0,13581.69,43.0,9.29,,
Bhadohi,7068.0,16969.92,44.0,7.61,,
Bijnor,199.0,36.1,167.0,30.26,,
Budaun,3847.0,7571.82,105.0,14.4,,
Bulandshahr,43389.0,39.0,43419.0,27241.16,1898240947.39,37964604.27
Chandauli,48.0,9.68,38.0,7.59,,
Chitrakoot,7.0,0.92,5.0,0.67,,
Deoria,201.0,929.62,72.0,13.18,,
Etah,86.0,479.89,58.0,12.16,,
Etawah,56.0,218.47,57.0,11.71,,
Farrukhabad,106.0,389.17,69.0,12.45,,
Fatehpur,337.0,1333.65,54.0,10.16,,
Firozabad,158.0,940.98,74.0,12.69,,
Gautam Buddha Nagar,322.0,74.27,268.0,62.08,,
Ghaziabad,10224.0,88810.32,422.0,86.05,,
Ghazipur,5589.0,17713.32,42.0,7.15,,
Gonda,3713.0,11335.66,43.0,6.17,,
Gorakhpur,13869.0,51697.44,220.0,46.06,,
Hamirpur,1478.0,3855.2,14.0,2.6,,
Hapur,33.0,7.87,28.0,7.06,,
Hardoi,5046.0,19203.78,109.0,19.16,,
Hathras,1854.0,6794.4,61.0,10.5,,
Jalaun,61.0,210.22,36.0,7.95,,
Jaunpur,17648.0,475.0,18123.0,9062.65,344870397.13,6897345.0
Jhansi,321.0,1249.87,166.0,30.9,,
Kannauj,105.0,465.6,22.0,5.31,,
Kanpur Dehat,149.0,507.57,39.0,7.48,,
Kanpur Nagar,1099.0,7384.34,464.0,89.83,,
Kasganj,21.0,2.46,14.0,2.14,,
Kaushambi,196.0,459.14,17.0,2.56,,
Kheri,99.0,20.57,86.0,17.69,,
Kushi Nagar,88.0,409.9,33.0,6.28,,
Lalitpur,71.0,10.47,65.0,9.18,,
Lucknow,23675.0,365.0,24049.0,12665.98,812699756.36,16253957.88
Maharajganj,2962.0,8707.65,49.0,8.63,,
Mahoba,1398.0,6885.91,22.0,4.2,,
Mainpuri,1737.0,5428.37,31.0,10.81,,
Mathura,89199.0,1554.0,90763.0,80251.38,4151637473.52,83032723.18
Mau,4818.0,12754.36,53.0,11.4,,
Meerut,10951.0,71356.38,387.0,82.88,,
Mirzapur,196.0,873.93,72.0,15.73,,
Moradabad,559.0,2042.73,191.0,42.11,,
Muzaffarnagar,348.0,1481.78,148.0,29.94,,
Pilibhit,57.0,9.9,54.0,9.63,,
Pratapgarh,189.0,723.14,92.0,14.46,,
Prayagraj,13856.0,71100.57,266.0,49.04,,
Rae Bareli,263.0,1271.88,98.0,17.47,,
Rampur,164.0,602.94,54.0,9.41,,
Saharanpur,3876.0,48.0,3924.0,2529.49,177671763.85,3553429.96
Sambhal,1987.0,3440.82,20.0,3.2,,
Sant Kabeer Nagar,3345.0,9628.62,26.0,4.98,,
Shahjahanpur,2826.0,10299.7,82.0,14.1,,
Shravasti,17821.0,72.0,17893.0,12228.69,587796532.22,11755861.43
Siddharth Nagar,39.0,5.68,34.0,4.75,,
Sitapur,168.0,571.63,35.0,5.33,,
Sonbhadra,162.0,782.97,31.0,5.64,,
Sultanpur,300.0,1258.55,115.0,19.73,,
Unnao,195.0,867.73,80.0,12.22,,
Varanasi,1011.0,6098.75,351.0,69.61,,
