District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no
Agra,394751.0,1040183.0,1434934.0,1307728.0,365.86,187036.0,1047939.0,1026384.0,78.49
Aligarh,355182.0,658608.0,1013790.0,926520.0,247.73,152846.0,772087.0,684971.0,73.93
Ambedkar Nagar,633994.0,273787.0,907781.0,858092.0,238.09,95513.0,845358.0,733484.0,85.48
Auraiya,261665.0,88373.0,350038.0,325058.0,111.6,48050.0,259933.0,270874.0,83.33
Ayodhya,621806.0,243207.0,865013.0,819243.0,311.54,67360.0,801789.0,725369.0,88.54
Azamgarh,1095143.0,224767.0,1319910.0,1186852.0,351.37,426249.0,949843.0,784550.0,66.1
Baghpat,149425.0,67871.0,217296.0,198272.0,117.88,22915.0,171359.0,155458.0,78.41
Bahraich,366360.0,274829.0,641189.0,596803.0,227.38,47073.0,447030.0,477875.0,80.07
Ballia,578803.0,509419.0,1088222.0,1002349.0,339.21,148320.0,856285.0,832146.0,83.02
Balrampur,254841.0,103167.0,358008.0,312551.0,159.03,21026.0,250003.0,289159.0,92.52
Banda,172510.0,216448.0,388958.0,363466.0,124.25,38404.0,218530.0,278874.0,76.73
Barabanki,555011.0,371304.0,926315.0,863095.0,324.23,117089.0,740422.0,684376.0,79.29
Bareilly,751706.0,681172.0,1432878.0,1338552.0,418.81,100063.0,1304621.0,1178294.0,88.03
Bhadohi,505509.0,253589.0,759098.0,691828.0,198.62,127921.0,511961.0,592130.0,85.59
Bijnor,738172.0,295379.0,1033551.0,981138.0,261.39,173853.0,893714.0,841333.0,85.75
Budaun,664637.0,500680.0,1165317.0,1080088.0,240.57,79572.0,1050418.0,817439.0,75.68
Bulandshahr,703402.0,333409.0,1036811.0,977665.0,303.73,139605.0,908257.0,721849.0,73.83
Chandauli,479686.0,159450.0,639136.0,578352.0,171.04,151485.0,488647.0,485117.0,83.88
Chitrakoot,85111.0,244003.0,329114.0,302688.0,70.5,26342.0,163792.0,198104.0,65.45
Deoria,517538.0,303290.0,820828.0,751333.0,223.86,115097.0,612677.0,589901.0,78.51
Etah,229857.0,374023.0,603880.0,555889.0,164.71,133706.0,500711.0,447642.0,80.53
Etawah,278475.0,180953.0,459428.0,426725.0,142.39,58520.0,367077.0,361619.0,84.74
Farrukhabad,283817.0,381241.0,665058.0,611795.0,164.3,97820.0,570217.0,491351.0,80.31
Fatehpur,548571.0,224587.0,773158.0,727949.0,372.56,36289.0,709711.0,620247.0,85.2
Ghaziabad,160697.0,666932.0,827629.0,770154.0,357.14,99503.0,718357.0,604912.0,78.54
Ghazipur,760396.0,249311.0,1009707.0,894659.0,338.96,207638.0,770515.0,734796.0,82.13
Gorakhpur,825287.0,543494.0,1368781.0,1237929.0,343.25,228073.0,1049968.0,924288.0,74.66
Hamirpur,145363.0,158749.0,304112.0,278260.0,96.97,15367.0,242384.0,230400.0,82.8
Hapur,120882.0,76771.0,197653.0,176980.0,61.22,32206.0,169309.0,132957.0,75.13
Jalaun,228891.0,173265.0,402156.0,377160.0,127.91,20820.0,330758.0,355054.0,94.14
Jaunpur,1238557.0,396449.0,1635006.0,1470091.0,432.8,365387.0,1073892.0,1220543.0,83.02
Jhansi,268402.0,282138.0,550540.0,517318.0,153.9,72800.0,485160.0,417254.0,80.66
Kannauj,237684.0,344625.0,582309.0,523192.0,161.7,86288.0,457026.0,430935.0,82.37
Kanpur Dehat,339204.0,195235.0,534439.0,503503.0,150.77,49156.0,495265.0,427877.0,84.98
Kanpur Nagar,332487.0,835553.0,1168040.0,1101792.0,438.23,124811.0,1022355.0,919701.0,83.47
Kaushambi,356931.0,148885.0,505816.0,481510.0,169.3,36911.0,473126.0,404622.0,84.03
