District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Azamgarh,46216.0,134.88,134.12,4539.0,73.7,68.98,502.0,40.31
Baghpat,8783.0,23.02,22.72,974.0,20.06,17.3,211.0,17.57
Bahraich,15191.0,35.9,35.79,737.0,19.04,17.35,233.0,19.62
Ballia,59447.0,149.88,148.55,2976.0,36.5,32.05,291.0,24.39
Balrampur,814.0,2.03,1.94,575.0,13.67,12.43,142.0,11.82
Banda,6019.0,15.75,15.62,445.0,10.22,9.58,130.0,10.3
Basti,19681.0,39.29,38.63,1108.0,24.85,21.07,251.0,20.81
Budaun,10390.0,31.14,30.82,1343.0,25.02,21.59,266.0,21.94
Bulandshahr,37317.0,123.33,122.23,2934.0,45.4,40.3,575.0,47.82
Chitrakoot,25403.0,67.84,67.46,517.0,6.54,6.04,47.0,3.71
Ghaziabad,26238.0,73.26,72.32,3947.0,90.84,83.46,1985.0,158.32
Gonda,2124.0,4.58,4.31,1110.0,25.99,24.09,308.0,24.38
Hamirpur,348.0,0.75,0.68,315.0,8.16,7.52,97.0,8.17
Hardoi,4763.0,9.09,8.22,2202.0,46.01,38.71,386.0,31.07
Hathras,12205.0,36.98,36.52,1469.0,20.12,17.98,224.0,19.47
Jaunpur,55757.0,175.18,161.58,7626.0,108.19,103.23,494.0,39.39
Jhansi,14551.0,39.64,38.48,1678.0,39.84,36.68,431.0,33.63
Kannauj,5979.0,14.09,13.83,1391.0,26.34,20.93,191.0,15.69
Kanpur Dehat,4043.0,9.34,8.99,1492.0,31.8,27.82,227.0,18.81
Kanpur Nagar,15176.0,33.29,31.56,5336.0,136.96,127.98,1742.0,139.04
Kaushambi,12954.0,40.15,39.91,1387.0,26.26,23.28,132.0,10.66
Meerut,30503.0,88.75,87.42,3621.0,74.06,,,
Moradabad,11834.0,31.82,31.43,2008.0,49.89,42.35,842.0,65.43
Muzaffarnagar,49885.0,126.01,124.84,2828.0,53.37,47.07,604.0,49.99
Pilibhit,2131.0,5.54,5.4,808.0,18.52,16.56,190.0,15.16
Pratapgarh,13232.0,39.75,38.92,2618.0,47.6,42.3,328.0,26.17
Prayagraj,79672.0,242.86,240.67,6096.0,114.88,103.95,1192.0,94.43
Rae Bareli,13754.0,38.17,37.31,2333.0,52.36,48.19,444.0,37.65
Rampur,5171.0,15.59,15.26,1064.0,21.01,19.08,237.0,19.89
Saharanpur,55858.0,156.4,154.59,2857.0,51.46,46.23,737.0,60.52
Sant Kabeer Nagar,9141.0,27.48,27.09,842.0,19.9,17.7,292.0,24.65
Shahjahanpur,11763.0,31.5,31.31,1229.0,26.7,24.57,348.0,29.3
Shamli,7054.0,17.63,17.36,819.0,13.89,12.22,107.0,9.32
Shravasti,112.0,0.46,0.4,214.0,5.39,4.54,46.0,3.38
Siddharth Nagar,14917.0,21.57,21.23,665.0,18.77,16.34,273.0,23.44
Sitapur,11082.0,27.59,27.36,985.0,22.85,21.7,290.0,23.63
