District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,140.0,41.0,37.0,2.0,220.0,440.0
Aligarh,64.0,40.0,19.0,0.0,123.0,246.0
Ambedkar Nagar,24.0,3.0,3.0,0.0,30.0,60.0
Amethi,33.0,0.0,6.0,0.0,39.0,78.0
Auraiya,18.0,3.0,2.0,0.0,23.0,46.0
Ayodhya,68.0,5.0,14.0,0.0,87.0,174.0
Azamgarh,52.0,4.0,7.0,0.0,63.0,126.0
Baghpat,64.0,3.0,7.0,0.0,74.0,148.0
Bahraich,43.0,5.0,20.0,0.0,68.0,136.0
Ballia,22.0,2.0,2.0,0.0,26.0,52.0
Balrampur,3.0,0.0,0.0,0.0,3.0,6.0
Banda,36.0,0.0,20.0,1.0,57.0,114.0
Barabanki,47.0,20.0,12.0,0.0,79.0,158.0
Bareilly,119.0,6.0,13.0,0.0,138.0,276.0
Basti,10.0,0.0,0.0,0.0,10.0,20.0
Bhadohi,10.0,2.0,5.0,0.0,17.0,34.0
Bijnor,93.0,6.0,20.0,0.0,119.0,238.0
Budaun,26.0,7.0,6.0,0.0,39.0,78.0
Bulandshahr,100.0,8.0,29.0,0.0,137.0,274.0
Chandauli,26.0,1.0,6.0,0.0,33.0,66.0
Chitrakoot,9.0,1.0,4.0,1.0,15.0,30.0
Deoria,15.0,5.0,0.0,0.0,20.0,40.0
Etah,31.0,3.0,15.0,1.0,50.0,100.0
Etawah,41.0,1.0,3.0,1.0,46.0,92.0
Farrukhabad,27.0,13.0,12.0,0.0,52.0,104.0
Fatehpur,360794.0,79902.0,440696.0,,,
Firozabad,35.0,6.0,5.0,0.0,46.0,92.0
Gautam Buddha Nagar,76.0,3.0,16.0,0.0,95.0,190.0
Ghaziabad,132.0,10.0,31.0,1.0,174.0,348.0
Ghazipur,37.0,3.0,4.0,0.0,44.0,88.0
Gonda,18.0,3.0,6.0,1.0,28.0,56.0
Gorakhpur,44.0,5.0,8.0,2.0,59.0,118.0
Hamirpur,12.0,2.0,2.0,0.0,16.0,32.0
Hapur,29.0,0.0,7.0,0.0,36.0,72.0
Hardoi,45.0,17.0,15.0,1.0,78.0,156.0
Jalaun,50.0,5.0,22.0,0.0,77.0,154.0
Jaunpur,40.0,0.0,10.0,1.0,51.0,102.0
Jhansi,27.0,1.0,11.0,1.0,40.0,80.0
Kannauj,21.0,17.0,11.0,0.0,49.0,98.0
Kanpur Dehat,34.0,3.0,0.0,0.0,37.0,74.0
Kanpur Nagar,169.0,12.0,28.0,0.0,209.0,418.0
Kaushambi,17.0,1.0,4.0,0.0,22.0,44.0
Kheri,77.0,9.0,17.0,4.0,107.0,214.0
Kushi Nagar,8.0,1.0,6.0,0.0,15.0,30.0
Lalitpur,14.0,0.0,2.0,0.0,16.0,32.0
Lucknow,209.0,23.0,54.0,3.0,289.0,578.0
Mahoba,19.0,11.0,21.0,0.0,51.0,102.0
Mainpuri,75.0,5.0,7.0,0.0,87.0,174.0
Mathura,85.0,12.0,21.0,0.0,118.0,236.0
Mau,17.0,1.0,4.0,0.0,22.0,44.0
Meerut,146.0,16.0,26.0,1.0,189.0,378.0
Mirzapur,61.0,3.0,25.0,2.0,91.0,182.0
Moradabad,65.0,4.0,7.0,0.0,76.0,152.0
Muzaffarnagar,99.0,5.0,21.0,0.0,125.0,250.0
Pilibhit,48.0,7.0,11.0,0.0,66.0,132.0
Pratapgarh,32.0,2.0,3.0,0.0,37.0,74.0
Prayagraj,54.0,8.0,21.0,2.0,85.0,170.0
Rae Bareli,71.0,4.0,7.0,2.0,84.0,168.0
Rampur,46.0,3.0,5.0,0.0,54.0,108.0
Saharanpur,354396.0,68112.0,422508.0,,,
Sambhal,8.0,1.0,2.0,0.0,11.0,22.0
Sant Kabeer Nagar,4.0,0.0,1.0,0.0,5.0,10.0
Shahjahanpur,55.0,7.0,7.0,0.0,69.0,138.0
Shamli,29.0,5.0,12.0,0.0,46.0,92.0
Shravasti,8.0,0.0,2.0,0.0,10.0,20.0
Siddharth Nagar,9.0,0.0,0.0,0.0,9.0,18.0
Sitapur,61.0,1.0,26.0,1.0,89.0,178.0
Sonbhadra,33.0,1.0,16.0,2.0,52.0,104.0
Sultanpur,31.0,1.0,2.0,0.0,34.0,68.0
Unnao,36.0,13.0,12.0,0.0,61.0,122.0
Varanasi,73.0,3.0,13.0,0.0,89.0,178.0
