District,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Agra,1468111.7,410000.62,27.93,,,,
Aligarh,843311.79,290513.0,34.45,,,,
Ambedkar Nagar,178471.13,117842.31,66.03,,,,
Amethi,230.0,202.08,161.0,80.87,70.0,40.02,56.61
Amroha,321241.83,139780.51,43.51,,,,
Auraiya,64741.87,24247.96,37.45,,,,
Ayodhya,193.0,169.49,180.0,74.44,93.26,43.92,100.0
Azamgarh,288002.0,76449.69,26.54,,,,
Baghpat,1133.0,995.73,175.0,102.58,15.45,10.3,20.68
Bahraich,158904.53,69557.67,43.77,,,,
Ballia,304.0,267.27,26.0,30.84,8.55,11.54,100.0
Balrampur,102.0,89.63,13.0,0.39,12.75,0.44,100.0
Banda,1131.0,994.1,53.0,11.02,4.69,1.11,47.15
Barabanki,1103.0,969.65,35.0,20.77,3.17,2.14,16.37
Bareilly,638953.5,165932.0,25.97,,,,
Basti,227201.65,69460.71,30.57,,,,
Bhadohi,102.0,89.63,9.0,21.94,8.82,24.48,100.0
Bijnor,916524.91,312219.0,34.07,,,,
Budaun,318385.5,126413.0,39.7,,,,
Bulandshahr,286.0,250.97,204.0,52.12,71.33,20.77,100.0
Chitrakoot,727.0,638.83,8.0,6.46,1.1,1.01,69.05
Etah,137.0,120.6,8.0,1.09,5.84,0.9,10000.0
Etawah,117700.0,41730.0,35.45,,,,
Farrukhabad,121.0,105.93,19.0,4.39,15.7,4.14,58.08
Fatehpur,231696.79,65498.08,28.27,,,,
Firozabad,390624.93,117980.0,30.2,,,,
Gautam Buddha Nagar,78.0,68.45,27.0,9.65,34.62,14.1,100.0
Ghaziabad,1040239.11,524751.73,50.45,,,,
Ghazipur,217164.0,95658.45,44.05,,,,
Gonda,286.0,250.97,342.0,85.78,100.0,34.18,100.0
Gorakhpur,407016.0,114178.82,28.05,,,,
Hamirpur,198822.86,59781.12,30.07,,,,
Hapur,342166.86,146404.98,42.79,,,,
Hardoi,475283.78,117567.0,24.74,,,,
Hathras,219400.0,106300.0,48.45,,,,
Jaunpur,378.0,332.45,239.0,72.92,63.23,21.93,100.0
Jhansi,278716.67,107480.0,38.56,,,,
Kanpur Dehat,174.0,153.19,136.0,49.25,78.16,32.15,100.0
Kanpur Nagar,174.0,153.19,73.0,20.47,41.95,13.36,100.0
Kaushambi,139.0,122.23,176.0,82.31,100.0,67.34,100.0
Kheri,541450.0,188855.12,34.88,,,,
Kushi Nagar,252.0,221.64,14.0,3.27,5.56,1.48,100.0
Lalitpur,157624.72,70874.05,44.96,,,,
Lucknow,677529.73,331586.36,48.94,,,,
Maharajganj,211.0,185.78,22.0,6.19,10.43,3.33,100.0
Mahoba,554.0,487.27,43.0,3.67,7.76,0.75,71.56
Mainpuri,183708.82,54439.84,29.63,,,,
Mathura,174.0,153.19,56.0,22.73,32.18,14.84,100.0
Mau,156.0,136.89,15.0,3.43,9.62,2.51,100.0
Meerut,211.0,185.78,72.0,32.95,34.12,17.74,100.0
Mirzapur,192989.0,62009.0,32.13,,,,
Moradabad,137.0,120.6,9.0,3.51,6.57,2.91,91.37
Pilibhit,409370.62,121418.0,29.66,,,,
Pratapgarh,649.0,570.39,181.0,50.99,27.89,8.94,45.1
Prayagraj,385521.2,159339.76,41.33,,,,
Rae Bareli,323.0,283.56,1090.0,375.55,100.0,100.0,100.0
Rampur,102.0,89.63,41.0,6.25,40.2,6.97,100.0
Saharanpur,193.0,169.49,124.0,50.89,64.25,30.03,100.0
Sambhal,137.0,120.6,0.0,0.0,0.0,0.0,1.07
Shahjahanpur,267.0,234.67,90.0,35.41,33.71,15.09,100.0
Shamli,255435.0,82732.81,32.39,,,,
Shravasti,185.0,162.97,22.0,2.98,11.89,1.83,100.0
Siddharth Nagar,303993.47,124883.43,41.08,,,,
Sitapur,341.0,299.86,45.0,15.68,13.2,5.23,100.0
Sonbhadra,104858.0,25654.51,24.47,,,,
Sultanpur,131332.49,53337.0,40.61,,,,
Unnao,123398.8,85988.0,69.68,,,,
Varanasi,331932.6,206432.33,62.19,,,,
