District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,664.0,13.0,47.0,5.0,729.0,1458.0
Aligarh,591.0,6.0,23.0,3.0,623.0,1246.0
Ambedkar Nagar,156.0,2.0,21.0,1.0,180.0,360.0
Amethi,73.0,3.0,4.0,0.0,80.0,160.0
Auraiya,108.0,3.0,5.0,3.0,119.0,238.0
Ayodhya,331.0,7.0,31.0,2.0,371.0,742.0
Azamgarh,203.0,2.0,24.0,1.0,230.0,460.0
Baghpat,168.0,4.0,4.0,0.0,176.0,352.0
Bahraich,259.0,11.0,22.0,1.0,293.0,586.0
Ballia,173.0,3.0,6.0,1.0,183.0,366.0
Balrampur,69.0,0.0,3.0,0.0,72.0,144.0
Banda,177.0,8.0,22.0,1.0,208.0,416.0
Barabanki,565.0,7.0,46.0,2.0,620.0,1240.0
Bareilly,692.0,18.0,64.0,5.0,779.0,1558.0
Basti,106.0,3.0,7.0,0.0,116.0,232.0
Bhadohi,144.0,0.0,15.0,2.0,161.0,322.0
Bijnor,348.0,9.0,18.0,4.0,379.0,758.0
Budaun,199.0,7.0,12.0,2.0,220.0,440.0
Bulandshahr,346.0,6.0,31.0,7.0,390.0,780.0
Chandauli,135.0,0.0,5.0,2.0,142.0,284.0
Chitrakoot,31.0,8.0,5.0,0.0,44.0,88.0
Deoria,150.0,1.0,6.0,1.0,158.0,316.0
Etah,434.0,2.0,23.0,1.0,460.0,920.0
Etawah,109.0,2.0,8.0,1.0,120.0,240.0
Farrukhabad,401.0,1.0,27.0,1.0,430.0,860.0
Fatehpur,154.0,2.0,22.0,1.0,179.0,358.0
Firozabad,174.0,3.0,9.0,4.0,190.0,380.0
Gautam Buddha Nagar,283.0,3.0,14.0,3.0,303.0,606.0
Ghaziabad,603.0,27.0,16.0,6.0,652.0,1304.0
Ghazipur,222.0,1.0,9.0,1.0,233.0,466.0
Gonda,153.0,6.0,17.0,0.0,176.0,352.0
Gorakhpur,330.0,4.0,11.0,1.0,346.0,692.0
Hamirpur,59.0,3.0,7.0,1.0,70.0,140.0
Hapur,133.0,4.0,1.0,2.0,140.0,280.0
Hardoi,348.0,1.0,22.0,2.0,373.0,746.0
Jalaun,152.0,19.0,15.0,0.0,186.0,372.0
Jaunpur,191.0,1.0,9.0,2.0,203.0,406.0
Jhansi,137.0,5.0,6.0,2.0,150.0,300.0
Kannauj,154.0,1.0,12.0,1.0,168.0,336.0
Kanpur Dehat,123.0,4.0,17.0,0.0,144.0,288.0
Kanpur Nagar,557.0,9.0,36.0,3.0,605.0,1210.0
Kheri,524.0,38.0,52.0,0.0,614.0,1228.0
Kushi Nagar,139.0,3.0,4.0,1.0,147.0,294.0
Lalitpur,41.0,0.0,1.0,0.0,42.0,84.0
Lucknow,865.0,20.0,21.0,8.0,914.0,1828.0
Mahoba,112.0,24.0,16.0,0.0,152.0,304.0
Mainpuri,198.0,1.0,24.0,1.0,224.0,448.0
Mathura,323.0,6.0,13.0,0.0,342.0,684.0
Mau,110.0,1.0,2.0,0.0,113.0,226.0
Meerut,678.0,21.0,23.0,4.0,726.0,1452.0
Mirzapur,224.0,13.0,21.0,1.0,259.0,518.0
Moradabad,737.0,9.0,33.0,5.0,784.0,1568.0
Muzaffarnagar,419.0,8.0,23.0,4.0,454.0,908.0
Pilibhit,231.0,5.0,17.0,1.0,254.0,508.0
Pratapgarh,278.0,5.0,26.0,2.0,311.0,622.0
Prayagraj,585.0,7.0,51.0,3.0,646.0,1292.0
Rae Bareli,401.0,11.0,26.0,1.0,439.0,878.0
Saharanpur,450.0,17.0,26.0,9.0,502.0,1004.0
Sambhal,283.0,1.0,16.0,2.0,302.0,604.0
Shahjahanpur,326.0,8.0,40.0,4.0,378.0,756.0
Shamli,141.0,5.0,8.0,1.0,155.0,310.0
Shravasti,48.0,4.0,8.0,0.0,60.0,120.0
Siddharth Nagar,44.0,3.0,2.0,0.0,49.0,98.0
Sitapur,424.0,20.0,36.0,6.0,486.0,972.0
Sonbhadra,111.0,10.0,15.0,2.0,138.0,276.0
Sultanpur,290.0,6.0,29.0,1.0,326.0,652.0
Unnao,334.0,4.0,28.0,1.0,367.0,734.0
Varanasi,329.0,6.0,13.0,0.0,348.0,696.0
