district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Anjaw,5347.62,0.00,0.00,44.08,,12131.65,0.00,0.00,44.08,5347.62,12131.65
Changlang,36314.48,1236.08,360.73,38.33,45.46,94747.50,2718.98,0.00,38.90,37911.29,97466.48
Dibang Valley,3880.13,285.90,0.00,11.94,10.77,32494.06,2654.21,0.00,11.85,4166.03,35148.27
East Kameng,819.23,26779.61,0.00,108.53,75.92,754.82,35274.25,0.00,76.60,27598.84,36029.07
East Siang,11304.69,74833.31,1524.93,25.84,46.46,43743.72,161065.73,0.00,42.80,87662.93,204809.45
Kamle,3252.48,0.00,0.00,77.27,,4209.38,0.00,0.00,77.27,3252.48,4209.38
Kra Daadi,6754.12,0.00,0.00,80.45,,8395.66,0.00,0.00,80.45,6754.12,8395.66
Kurung Kumey,6840.96,1955.62,0.00,61.62,61.88,11101.26,3160.24,0.00,61.68,8796.58,14261.50
Leparada,14865.11,1307.53,0.00,35.89,88.53,41418.32,1476.89,0.00,37.70,16172.64,42895.21
Lohit,7200.69,24857.82,330.42,47.50,45.29,15157.90,54883.41,0.00,46.24,32388.93,70041.31
Longding,15300.62,0.00,0.00,61.61,,24833.23,0.00,0.00,61.61,15300.62,24833.23
Lower Dibang Valley,1235.06,28093.10,425.77,35.70,24.48,3459.67,114757.00,0.00,25.17,29753.93,118216.67
Lower Siang,21150.33,0.00,0.00,63.52,,33296.75,0.00,0.00,63.52,21150.33,33296.75
Lower Subansiri,3630.12,42607.50,373.32,66.72,42.00,5440.86,101454.19,0.00,43.60,46610.94,106895.05
Namsai,14662.51,24947.32,812.52,37.90,34.47,38682.91,72382.30,0.00,36.40,40422.35,111065.21
Papum Pare,90574.46,544659.11,4092.03,61.87,43.20,146399.75,1260732.05,0.00,45.43,639325.60,1407131.80
Shi Yomi,1551.74,788.82,0.00,9.29,28.06,16703.90,2811.22,0.00,11.99,2340.56,19515.12
Siang,6264.35,0.00,0.00,25.62,,24448.06,0.00,0.00,25.62,6264.35,24448.06
Tawang,8834.37,23433.53,399.80,17.39,12.80,50806.22,183029.09,0.00,13.97,32667.70,233835.31
Tirap,22124.73,1152.44,0.00,44.68,56.09,49522.12,2054.68,0.00,45.13,23277.17,51576.80
Upper Siang,11206.63,665.54,0.00,20.61,22.41,54378.45,2970.10,0.00,20.70,11872.17,57348.55
Upper Subansiri,8858.79,30297.10,0.00,44.16,73.41,20062.11,41269.96,0.00,63.84,39155.89,61332.07
West Kameng,72582.25,2277.02,461.93,45.84,436.59,158344.96,521.55,0.00,47.41,75321.20,158866.51
West Siang,2951.92,49404.27,284.71,24.28,41.67,12156.66,118573.81,0.00,40.27,52640.90,130730.47
