district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Anjaw,23.31,6,99.11,9,0.00,0,7.50,1,8.60,1,138.52,17,0.00,0
Changlang,928.67,288,2708.23,530,0.00,0,157.87,23,13.00,1,3807.77,842,0.00,0
Dibang Valley,21.54,7,138.24,55,0.00,0,0.00,0,2.35,1,162.13,63,0.00,0
East Kameng,218.78,30,677.45,151,0.00,0,97.64,48,0.00,0,993.87,229,0.00,0
East Siang,258.69,25,3440.96,400,0.00,0,426.17,41,65.06,4,4190.88,470,0.00,0
Kamle,0.00,0,197.98,32,0.00,0,4.39,1,0.00,0,202.37,33,0.00,0
Kra Daadi,10.42,4,725.79,299,0.00,0,0.00,0,0.00,1,736.21,304,0.00,0
Kurung Kumey,24.30,3,1406.11,452,0.00,0,0.36,1,0.00,0,1430.77,456,0.00,0
Leparada,52.62,8,422.72,81,0.00,0,57.12,5,0.00,0,532.46,94,0.00,0
Lohit,756.67,132,2250.52,152,0.00,0,105.87,22,0.00,0,3113.06,306,0.00,0
Longding,57.51,5,4396.80,1378,0.00,0,61.59,7,20.20,2,4536.10,1392,0.00,0
Lower Dibang Valley,85.46,9,1823.25,424,0.00,0,66.59,12,37.34,2,2012.64,447,0.00,0
Lower Siang,16.35,4,1286.94,309,0.00,0,72.52,20,1.00,1,1376.81,334,0.00,0
Lower Subansiri,734.07,71,5505.01,384,0.00,0,239.22,47,13.02,3,6491.32,505,0.00,0
Namsai,4178.55,984,1037.55,205,0.00,0,79.81,29,2.00,1,5297.91,1219,0.00,0
Papum Pare,10966.13,318,48270.19,3632,2.39,3,5554.84,287,242.20,19,65035.75,4259,0.00,0
Shi Yomi,520.97,283,29.60,4,0.00,0,0.00,0,17.00,2,567.57,289,0.00,0
Siang,33.30,4,500.63,150,0.00,0,22.00,1,10.50,1,566.43,156,0.00,0
Tawang,6337.37,870,271.70,17,0.00,0,313.09,37,74.78,5,6996.94,929,0.00,0
Tirap,145.65,25,2659.45,466,0.00,0,40.25,6,4.23,2,2849.58,499,0.00,0
Upper Siang,80.43,9,389.57,101,0.00,0,10.50,2,1.00,1,481.50,113,0.00,0
Upper Subansiri,52.65,9,1086.39,337,0.00,0,69.84,22,19.05,2,1227.93,370,0.00,0
West Kameng,18202.87,1722,1701.06,279,12.50,1,369.70,54,310.27,26,20597.40,2083,1.00,1
West Siang,1202.35,57,1829.41,321,0.00,0,82.29,9,83.18,6,3197.23,393,0.00,0
