district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Anjaw,8873,61,0,61,3
Changlang,76383,2692,0,2967,21
Dibang Valley,6029,13,0,14,23
East Kameng,62654,613,3,1500,15
East Siang,55455,3052,16,4144,45
Kamle,5767,20,0,20,1
Kra Daadi,6367,238,0,322,28
Kurung Kumey,25305,168,0,452,55
Leparada,15651,300,0,468,47
Lohit,41587,802,0,2534,189
Longding,24709,1619,0,1619,17
Lower Dibang Valley,43215,1133,28,2848,151
Lower Siang,9734,968,16,1164,10
Lower Subansiri,37820,528,0,1114,228
Namsai,42027,1189,1,1993,167
Papum Pare,196598,3780,5,11554,441
Shi Yomi,7667,130,0,165,0
Siang,6194,66,0,150,1
Tawang,36507,145,1,1324,17
Tirap,41016,1404,0,1975,8
Upper Siang,25367,74,0,188,61
Upper Subansiri,49371,832,0,2476,83
West Kameng,50591,681,4,1578,67
West Siang,38213,649,2,1651,11
