district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Anjaw,0,0.00,3,3.82,2201519,27911.75,0,0.00,1,0.00,2391,84.63
Changlang,674,72.52,26,61.88,18964979,201980.28,14452,838.55,2760,72143.09,33992,1105.97
Dibang Valley,0,0.00,2,12.02,1311941,22483.67,3785,265.55,0,0.00,2096,129.17
East Kameng,990,227.54,2,6.25,9002438,133737.28,17014,10623.08,5170,513115.86,9617,505.42
East Siang,1887,247.02,22,117.31,25424123,328110.32,79289,5423.40,49631,546433.97,35218,1229.14
Kamle,0,0.00,0,0.00,1538895,15245.79,0,0.00,7,0.01,1724,62.84
Kra Daadi,0,0.00,0,0.00,1831732,25313.76,339,84.46,13,74.32,3354,149.04
Kurung Kumey,0,0.00,6,12.14,1815377,28725.78,21498,1950.75,0,0.00,2850,200.33
Leparada,0,0.00,6,13.32,4554887,51929.07,7921,527.10,1712,647.44,6948,365.26
Lohit,379,80.95,28,95.00,9627878,133866.41,15294,1127.34,9836,29441.73,18161,577.81
Longding,0,0.00,0,0.00,7564527,66999.74,35,0.25,9,0.03,13470,409.75
Lower Dibang Valley,600,99.24,21,215.63,9033231,131878.95,39258,2438.59,21587,100523.71,18046,649.58
Lower Siang,0,0.00,2,0.23,5458447,56709.62,726,158.72,31,97.38,15004,465.68
Lower Subansiri,894,142.12,0,0.00,10059218,160099.41,42264,2364.23,13987,189617.65,14337,503.53
Namsai,1516,201.01,132,473.14,9981492,143830.53,32302,1964.83,34944,193846.62,21514,717.65
Papum Pare,113691,5174.79,540701,13609.06,79979525,1358198.79,571890,36623.13,455853,3898162.01,182158,8790.23
Shi Yomi,0,0.00,0,0.00,855436,13084.23,2401,162.22,0,0.00,2913,155.43
Siang,0,0.00,0,0.00,2854132,31518.99,236,34.81,25,29.60,3386,127.83
Tawang,246,28.17,5,25.19,7299444,132859.21,34139,2079.42,16301,4273.28,32963,1393.09
Tirap,0,0.00,4,5.86,9307522,93255.61,2865,278.31,24,6.56,24302,776.71
Upper Siang,0,0.00,9,26.94,4652746,58306.57,14581,1284.56,16,37.10,7105,297.11
Upper Subansiri,0,0.00,15,91.51,10080776,130497.45,3910,865.16,618,2526.29,13318,818.41
West Kameng,885,139.45,2,1.94,17194165,250658.11,27499,1947.48,2710,130633.71,86979,2664.35
West Siang,1093,257.20,0,0.00,17221362,229510.71,69775,4170.06,12897,441672.74,23885,1037.83
