district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Anjaw,55.24,4,57.48,2,0.00,0,0.00,58.84,5
Changlang,74.49,9,21.85,2,0.23,1,0.27,85.70,13
East Kameng,1.87,1,9.50,1,28.87,10,23.44,123.18,14
East Siang,10.31,3,0.00,0,7.83,3,14.81,52.86,16
Kamle,12.37,1,19.00,1,11.11,3,21.01,52.89,5
Kra Daadi,29.93,5,9.50,1,23.14,4,43.60,53.07,9
Kurung Kumey,69.32,7,87.90,4,0.25,1,0.12,208.76,15
Leparada,20.72,4,9.50,1,18.85,3,30.89,61.03,10
Lohit,24.87,9,14.25,3,2.37,1,4.63,51.22,12
Longding,25.38,4,18.05,1,3.06,1,8.27,37.01,6
Lower Dibang Valley,25.36,4,0.00,0,7.83,3,13.34,58.71,9
Lower Siang,67.93,6,57.00,3,31.73,2,35.24,90.04,8
Lower Subansiri,108.94,14,52.23,4,62.53,23,13.16,475.32,80
Namsai,31.08,3,9.50,1,103.11,41,68.35,150.86,47
Papum Pare,1250.74,196,861.10,66,651.88,220,15.15,4303.21,678
Shi Yomi,3.34,2,0.00,0,2.94,1,37.31,7.88,4
Siang,0.00,0,0.00,0,14.22,3,100.00,14.22,3
Tawang,82.45,16,49.23,8,13.21,5,10.54,125.32,28
Tirap,5.02,3,0.00,0,0.00,0,0.00,32.95,6
Upper Siang,8.37,1,0.00,0,0.00,1,0.00,16.93,4
Upper Subansiri,105.90,22,155.75,16,123.66,32,37.16,332.75,61
West Kameng,322.11,44,188.80,18,24.06,9,4.64,518.63,72
West Siang,80.49,7,25.75,2,65.60,12,35.66,183.98,25
