district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Anjaw,2.10,3,3,2.10,0.11,0.00,0,0.00,6.43,4,3.72,45,8
Changlang,66.85,50,40,36.87,0.13,0.31,1,0.34,90.20,65,3.11,114,22
Dibang Valley,0.00,0,0,0.00,0.01,0.00,0,0.00,0.00,0,3.02,6,1
East Kameng,0.22,2,3,0.15,1.50,5.25,2,27.44,19.13,20,1.73,8,3
East Siang,61.63,28,10,24.31,2.07,0.00,0,0.00,125.29,100,2.07,5,5
Kamle,1.00,1,0,0.00,0.00,0.00,0,0.00,0.85,1,0.02,2,0
Kra Daadi,34.42,21,2,2.05,0.14,0.00,0,0.00,54.68,37,0.76,7,1
Kurung Kumey,39.31,9,3,5.44,0.00,5.89,3,7.51,78.44,25,0.00,2,0
Leparada,10.54,6,5,5.54,0.00,1.64,1,2.46,66.66,44,0.18,5,0
Lohit,171.04,55,25,68.39,0.08,0.01,1,0.00,451.98,201,0.65,28,12
Longding,12.50,6,3,6.00,0.04,0.00,0,0.00,16.02,7,1.35,218,70
Lower Dibang Valley,59.82,19,6,11.32,0.01,0.00,0,0.00,158.95,79,0.70,23,3
Lower Siang,44.59,21,6,5.84,8.65,0.78,2,0.72,108.39,57,22.92,16,9
Lower Subansiri,30.50,12,3,15.00,0.00,0.00,0,0.00,81.10,48,0.00,1,1
Namsai,230.02,119,20,50.38,0.36,13.39,3,2.41,555.32,370,23.65,357,37
Papum Pare,226.75,67,23,83.00,0.69,76.61,70,19.49,392.99,258,10.88,74,17
Siang,33.94,20,12,23.59,0.00,0.00,0,0.00,37.74,28,1.60,4,0
Tawang,74.66,21,13,53.66,2.92,0.00,0,0.00,74.12,23,13.25,51,25
Tirap,53.69,36,31,27.90,0.07,0.00,0,0.00,59.31,38,20.21,57,14
Upper Siang,4.50,4,2,1.50,0.00,0.00,0,0.00,13.55,14,0.00,0,0
Upper Subansiri,79.16,23,11,42.80,0.09,4.34,3,1.97,219.81,131,4.07,30,5
West Kameng,70.47,39,18,29.71,1.18,8.90,2,5.65,157.65,83,68.40,128,50
West Siang,32.01,13,8,22.00,0.02,0.00,0,0.00,108.81,76,3.50,12,1
