district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Anjaw,3,0,0,9,0,9,2,0,0,3,2
Changlang,15,3,0,115,11,123,11,3,0,18,14
Dibang Valley,1,0,0,3,0,3,1,1,0,1,2
East Kameng,0,10,0,12,31,43,2,9,0,10,11
East Siang,4,17,0,133,32,160,7,15,0,21,22
Kamle,1,0,0,2,0,2,1,0,0,1,1
Kra Daadi,3,0,0,5,1,6,2,0,0,3,2
Kurung Kumey,2,2,0,2,2,4,1,3,0,4,4
Leparada,2,2,0,7,1,8,4,2,0,4,6
Lohit,2,12,1,30,2,37,4,7,0,15,11
Longding,4,0,0,9,1,10,3,0,0,4,3
Lower Dibang Valley,0,11,0,165,11,178,2,9,0,11,11
Lower Siang,2,0,0,24,14,38,4,0,0,2,4
Lower Subansiri,1,14,1,372,2,374,2,11,0,16,13
Namsai,4,9,0,176,30,206,4,10,0,13,14
Papum Pare,17,105,1,272,499,774,23,60,0,123,83
Shi Yomi,1,1,0,4,1,5,2,1,0,2,3
Siang,1,0,0,8,0,8,5,0,0,1,5
Tawang,6,14,0,39,6,45,4,8,0,20,12
Tirap,6,1,0,79,1,79,4,2,0,7,6
Upper Siang,3,1,0,9,1,10,4,3,0,4,7
Upper Subansiri,3,8,0,21,2,23,6,2,0,11,8
West Kameng,27,1,0,63,2,65,16,1,0,28,17
West Siang,2,13,0,162,9,170,3,8,0,15,11
