district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Anjaw,105.14,707,601,813,1075,41,27,1308,1308,0
Changlang,1967.50,25882,20978,17754,39398,2592,2323,46181,46860,683
Dibang Valley,272.08,187,240,268,292,20,6,397,427,30
East Kameng,906.18,8195,6518,9101,9615,1096,1304,5682,14713,9033
East Siang,3337.25,38093,33675,33831,47267,10794,6394,45008,71768,25928
Kamle,123.65,789,495,903,1100,17,9,1284,1284,0
Kra Daadi,215.17,1915,1013,1830,2954,66,237,2929,2928,0
Kurung Kumey,421.27,1885,1547,1646,2918,534,392,2796,3432,637
Leparada,248.94,1772,1674,1776,1828,352,400,3025,3446,425
Lohit,682.13,7230,6046,8227,9691,1038,1554,7160,13276,6117
Longding,490.56,6700,3325,7227,7709,215,865,10026,10025,0
Lower Dibang Valley,844.67,7657,7234,8473,12438,1007,2028,3665,14891,9425
Lower Siang,961.70,20233,19942,15577,14835,9667,1057,40177,40175,0
Lower Subansiri,1105.84,4918,4192,4727,6179,615,938,4212,9110,4901
Namsai,1597.29,20675,15581,27018,28795,2693,6263,16304,36256,19945
Papum Pare,3852.23,34085,27619,36715,44553,6253,12752,29344,61704,26278
Shi Yomi,460.53,776,644,600,1590,115,140,1420,1420,0
Siang,643.68,2237,2534,2608,2284,139,129,4773,4771,0
Tawang,991.76,2531,3076,3500,4166,623,1591,4344,5607,1265
Tirap,1141.89,8638,5988,9263,12808,469,1538,14577,14626,0
Upper Siang,589.63,2527,2259,3475,1358,223,161,4553,4786,233
Upper Subansiri,1931.20,10718,9281,12040,13874,2377,2155,7243,19999,12917
West Kameng,1451.31,7940,6964,8613,10701,887,1458,14858,14904,47
West Siang,1830.01,8677,8529,9820,8818,1642,1279,5931,17206,9447
