district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Anjaw,69.93,10,97.13,22,1390.87,514,3944.25,1406
Changlang,272.19,40,831.16,204,6570.15,1532,18252.66,4658
Dibang Valley,56.02,5,83.64,12,1168.22,269,3158.31,859
East Kameng,38.16,10,135.21,32,3731.52,695,12520.32,2731
East Siang,348.95,37,956.65,185,17058.98,1920,58038.46,9191
Kamle,8.86,4,40.06,15,843.66,220,2290.51,844
Kra Daadi,7.42,10,50.47,25,1333.11,419,4197.43,1343
Kurung Kumey,15.05,2,69.43,13,471.97,88,1525.55,282
Leparada,64.88,7,106.06,22,4172.20,655,11399.24,2497
Lohit,255.57,39,554.41,111,6531.38,1553,18865.69,5124
Longding,43.34,5,100.18,25,831.96,373,1936.89,674
Lower Dibang Valley,329.35,65,853.10,217,5513.61,817,15410.71,2881
Lower Siang,209.77,38,455.81,99,3272.04,682,11779.86,2181
Lower Subansiri,232.69,27,522.37,113,8115.38,915,25895.08,4104
Namsai,246.66,55,832.75,193,7269.14,1263,22361.65,4459
Papum Pare,1456.81,145,5212.30,741,95531.03,6432,313653.96,32627
Shi Yomi,0.00,0,5.80,4,484.35,84,1240.51,345
Siang,3.08,4,39.91,13,2121.01,388,5038.39,1217
Tawang,295.74,31,385.83,78,6603.97,793,16784.45,3005
Tirap,178.50,27,337.52,69,5020.32,1442,11478.28,3699
Upper Siang,160.09,18,295.80,41,2690.55,536,7340.67,2009
Upper Subansiri,204.50,45,576.86,115,8619.48,1282,28675.12,4855
West Kameng,452.32,57,788.17,151,20550.61,1935,42291.39,5960
West Siang,197.44,24,526.20,96,13540.71,1609,39999.36,7091
