district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Anjaw,49.48,9,0.16,5,0.00,0,0.00,65.57,15
Changlang,109.49,54,0.39,20,0.00,0,0.00,111.38,55
East Kameng,0.00,0,0.00,0,0.00,0,0.00,0.61,2
East Siang,57.40,28,15.92,9,4.73,2,3.67,128.99,101
Kamle,5.69,2,0.00,0,0.00,0,0.00,5.26,6
Kra Daadi,158.37,69,11.00,18,3.53,4,1.90,185.31,100
Kurung Kumey,0.00,0,0.53,1,0.70,2,16.83,4.16,6
Leparada,5.54,5,7.27,6,2.72,2,5.26,51.75,34
Lohit,259.24,74,75.66,41,0.01,1,0.00,510.38,180
Longding,68.00,23,0.13,12,0.00,0,0.00,67.64,23
Lower Dibang Valley,74.11,22,0.05,1,0.00,0,0.00,152.35,67
Lower Siang,44.33,21,16.82,7,0.78,2,1.18,66.29,38
Lower Subansiri,39.83,15,6.13,4,1.59,1,2.34,67.91,38
Namsai,654.02,123,9.37,5,7.37,1,1.28,574.42,359
Papum Pare,408.41,145,22.63,22,53.95,56,11.21,481.42,285
Siang,67.04,30,4.51,3,4.75,1,5.85,81.22,36
Tawang,0.94,1,4.61,8,0.00,0,0.00,13.16,16
Tirap,22.25,13,0.04,6,0.00,0,0.00,9.35,6
Upper Siang,4.50,4,0.00,0,0.00,0,0.00,12.97,12
Upper Subansiri,142.83,53,38.53,39,3.29,2,1.20,273.09,138
West Kameng,148.50,44,4.39,20,1.65,2,0.93,177.50,64
West Siang,32.01,13,7.46,4,0.00,0,0.00,101.99,66
