District,State,"Location(Metro, Urban, SU, Rural)",Address,Date of start of functioning,Name of Sponsoring Bank,No. of Literacy Camps undertaken during the quarter as per RBI guidelines using standardized financial literacy material of RBI,No. of Persons participated in Literacy Camps during the quarter,"Out of Persons participated, number of persons already having bank A/C at the time of attending the camp","Out of persons participated, no. of persons opened bank A/C after attending the camp"
Dhalai,Tripura,Semi-Urban,LDM(Dhalai),19.10.12,UBI,9,355,350,5
Gomati,Tripura,Semi-Urban,TGB Udaipur Branch,22.09.15,TGB,12,528,486,9
Khowai,Tripura,Semi-Urban,TGB Khowai Branch,17.09.15,TGB,0,0,0,0
North Tripura,Tripura,Semi-Urban,TGB Dharmanagar Branch,05.03.16,TGB,0,0,0,0
Sepahijala,Tripura,Rural,TGB Bishramganj Branch,30.12.15,TGB,13,579,513,5
South Tripura,Tripura,Semi-Urban,TGB Santirbazar Branch,30.12.15,TGB,14,602,590,4
Unakoti,Tripura,Semi-Urban,LDM(North ),19.10.12,UBI,15,1135,1107,28
West Tripura,Tripura,Urban,LDM(West),19.10.12,UBI,14,815,791,24
