District,CD RATIO March 2018,CD RATIO September 2017,CD RATIO September 2018,CD RATIO Since September 2017
Dhalai,66,61,76,+15
Gomati,93,87,65,-22
Khowai,69,63,71,+8
North Tripura,49,46,60,+14
Sepahijala,67,67,72,+5
South Tripura,50,47,60,+13
Unakoti,59,56,73,+17
West Tripura,36,34,37,+3
