district,cd_ratio,no_of_brs,total_deposit,total_advance
Dhalai,76,46,105780.17,80734.58
Gomati,65,63,183710.27,119671.95
Khowai,71,37,118197.89,84319.81
North Tripura,60,48,130367.56,78284.64
Sepahijala,72,54,168973.45,122329.32
South Tripura,60,57,173227.36,103383.97
Unakoti,73,32,98917.47,72115.53
West Tripura,37,188,1530116.24,562501.81
