District,TGB,TSCB,UBI,SBI,UCO Bank,Bank of Barod a,Union Bank,Total
Dhalai,56,55,12,9,5,0,0,137
Gomati,72,65,9,19,0,0,0,165
Khowai,64,23,4,11,11,0,0,113
North Tripura,71,27,2,20,1,0,0,121
Sepahijala,86,41,7,16,9,4,0,163
South Tripura,97,40,10,19,0,0,3,169
West Tripura,106,26,5,21,1,5,0,164
