District,Deposit Linkage No. of Groups,Amt,Capacity Building No.,Rf No.,Credit Linked No.,No. of Federations
Dhalai,347,38.79,223,218,26,45
Gomati,441,276.00,311,307,184,119
Khowai,2966,73.00,576,4807,73,104
North Tripura,3900,104.40,6081,3455,101,146
Sepahijala,3760,80.00,2880,3457,80,140
South Tripura,394,129.00,233,263,86,111
Unakoti,2671,87.50,2021,2224,87,83
West Tripura,4704,159.50,4357,4483,158,173
