district,sr,rcs_pending_less_than_1_year_no,rcs_pending_less_than_1_year_amt,rcs_pending_1_to_3_years_no,rcs_pending_1_to_3_years_amt,rcs_pending_3_to_5_years_no,rcs_pending_3_to_5_years_amt,rcs_pending_more_than_5_years_no,rcs_pending_more_than_5_years_amt,total_rcs_pending_more_than_5_years_no,total_rcs_pending_more_than_5_years_amt,recovery_agt_rc_01_04_23_to_30_06_23_more_than_5_years_no,recovery_agt_rc_01_04_23_to_30_06_23_more_than_5_years_amt,pct_recovery_agt_rc_lodged_more_than_5_years_amt
Almora,99,952,662,373,407,147,112.99999999999999,103,37,1575,1219,105,90,736
Bageshwar,77,23,3,84,101,107,104,28,56.00000000000001,242,264,10,17,647
Chamoli,44,149,84,359,177,144,87,97,141,749,488.99999999999994,30,14.000000000000002,286
Champawat,88,116,51,131,52,130,30,18,7.000000000000001,395,140,36,21,1537
Dehradun,1100,3627,6330,914,1291,862,997.0000000000001,0,0,5403,8618,4151,5735,6655
Haridwar,1111,330,202.99999999999997,578,355,413,254,330,202.99999999999997,1651,1015,337,343,3385
Nainital,1122,321,1023,244,933,109,584,225,405.99999999999994,899,2946,183,231,782
Pauri Garhwal,33,646,605,502,252.99999999999997,65,98,14,9,1227,965,97,86,891
Pithoragarh,55,770,505.99999999999994,884,674,853,425,110,43,2617,1648,104,95,574
Rudraprayag,66,273,166,191,107,86,22,23,6,573,301,17,38,1260
Tehri Garhwal,22,106,97,339,363,498,285,456,417,1399,1162,142,73,627
Udham Singh Nagar,1133,458,641,448,549,102,438.99999999999994,0,0,1008,1629,263,546,3356
Uttarkashi,11,459,428,190,101,75,23,11,3,735,555,58,45,811
