district,sr_no,flc_manager_no_of_sepcial_camps,flc_manager_participant,flc_manager_no_of_specific_camps,flc_manager_participants,rural_branches_camps
Almora,9,6,162,15,442,149
Bageshwar,5,9,407,28,810,179
Chamoli,3,6,177,15,513,122
Champawat,4,6,508,15,438,750
Dehradun,10,6,84,22,820,180
Haridwar,11,6,151,15,337,185
Nainital,12,7,200,15,386,215
Pauri Garhwal,8,10,177,15,240,385
Pithoragarh,6,7,152,15,333,197
Rudraprayag,7,6,172,27,1069,125
Tehri Garhwal,2,9,203,22,551,215
Udham Singh Nagar,13,8,277,17,447,478
Uttarkashi,1,6,149,16,324,302
