district,sr,no_of_branch,total_deposite,total_advances,c_d_ratio_pct
Almora,8,152,767600,198100,26
Bageshwar,9,56,234700,54400,23
Chamoli,6,101,473100,238300,50
Champawat,11,65,280900,96900,34
Dehradun,1,582,8145700,2937100,36
Haridwar,3,288,2735400,1805600,66
Nainital,12,264,2285100,1162100,51
Pauri Garhwal,5,207,1108400,293200,26
Pithoragarh,10,109,548000,202200,37
Rudraprayag,7,54,273900,75500,28
Tehri Garhwal,4,145,680200,245400,36
Udham Singh Nagar,13,344,1951800,2008500,103
Uttarkashi,2,69,274300,137300,50
