district,total_map_sheet,village,scanning_stage_final_check_list,scanning_stage_balance,geo_referencing_and_digitization_stage_final_sheet,geo_referencing_and_digitization_stage_final_village,geo_referencing_and_digitization_stage_pct,map_validation_stage_sheet,map_validation_stage_final_village,final_pring_stage_final_village
Almora,16978,2251,0,,8905,883,39.23,,,0
Bageshwar,7408,910,7389,19,381,98,10.77,0,0,0
Chamoli,3307,1263,3291,16,237,67,5.3,0,0,0
Champawat,7251,691,7187,26,2707,283,40.96,0,0,0
Dehradun,2088,797,2003,61,1378,301,37.77,600,117,0
Haridwar,638,643,638,0,597,523,81.34,500,470,0
Nainital,4927,1094,4804,103,1104,331,30.26,148,40,0
Pauri Garhwal,8004,3473,0,,5698,1604,46.18,,,0
Pithoragarh,13199,1639,13003,196,307,107,6.53,0,0,0
Tehri Garhwal,9624,1868,9591,21,406,103,5.51,0,0,0
Udham Singh Nagar,1322,684,1307,15,721,549,80.26,500,440,0
Uttarkashi,7705,692,7686,19,303,89,12.86,0,0,0
