district,camp_conducted_by_rural_branches_during_the_quarter_84,no_of_participants_0,no_of_special_camps_conducted_during_the_quarter_0,no_of_target_specific_camps_conducted_during_the_quarter_0,sr_no_1,total_camps_conducted_during_the_quarter_84
Alipurduar,46.0,250.0,1.0,1.0,3.0,48.0
Bankura,73.0,0.0,6.0,0.0,4.0,79.0
Birbhum,69.0,2220.0,69.0,69.0,5.0,207.0
Cooch Behar,13.0,4581.0,12.0,12.0,6.0,37.0
Darjeeling,0.0,3491.0,3.0,19.0,7.0,22.0
Hooghly,28.0,0.0,27.0,0.0,9.0,55.0
Howrah,0.0,1479.0,2.0,50.0,10.0,52.0
Jalpaiguri,80.0,0.0,0.0,0.0,11.0,80.0
Jhargram,154.0,213.0,9.0,9.0,12.0,172.0
Kalimpong,3.0,0.0,0.0,0.0,13.0,3.0
Kolkata,0.0,30.0,0.0,1.0,14.0,1.0
Malda,5.0,129.0,1.0,5.0,15.0,11.0
Murshidabad,0.0,156.0,2.0,4.0,16.0,6.0
Nadia,15.0,1066.0,15.0,15.0,17.0,45.0
Paschim Bardhaman,35.0,379.0,1.0,8.0,18.0,44.0
Paschim Medinipur,169.0,47.0,3.0,3.0,19.0,175.0
Purba Bardhaman,28.0,43.0,1.0,1.0,20.0,30.0
Purba Medinipur,235.0,316.0,7.0,7.0,21.0,249.0
Purulia,15.0,262.0,6.0,9.0,22.0,30.0
Uttar Dinajpur,17.0,0.0,17.0,0.0,23.0,34.0
