district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,399.19,1292.61,516.55,18.84,310.05,2119.21
Bankura,3669.07,4432.3,3723.11,40.42,921.43,9076.84
Birbhum,2060.62,4634.15,3723.15,21.21,1356.1,9713.4
Cooch Behar,1316.0,3725.89,2135.52,19.31,953.34,6814.75
Dakshin Dinajpur,3471.58,3862.15,3804.44,41.01,799.64,8466.23
Darjeeling,2078.04,997.02,1905.14,54.33,922.99,3825.15
Hooghly,2271.7,4611.24,4333.84,21.58,1581.11,10526.19
Howrah,7266.37,2141.08,11440.81,49.56,1079.36,14661.25
Jalpaiguri,2311.9,2303.21,2490.94,39.91,998.51,5792.66
Jhargram,1645.64,2117.51,1774.4,35.52,741.29,4633.2
Kalimpong,128.17,297.35,325.45,17.57,106.79,729.59
Kolkata,8942.1,614.55,13792.23,41.47,7156.76,21563.54
Malda,4035.21,5751.32,2407.38,36.32,2949.97,11108.67
Murshidabad,6188.61,7606.64,5388.68,41.75,1827.15,14822.47
Nadia,4390.77,6393.07,6232.77,30.65,1699.48,14325.32
North 24 Parganas,4093.77,3746.11,7597.55,28.34,3101.21,14444.87
Paschim Bardhaman,2821.92,306.48,5049.93,48.73,434.81,5791.22
Purba Bardhaman,2884.41,8142.25,4038.52,21.15,1457.78,13638.55
Purba Medinipur,4140.44,5567.84,5109.98,32.67,1995.45,12673.27
Purulia,2418.81,3438.91,2881.61,32.6,1100.24,7420.76
South 24 Parganas,5143.29,4259.48,7038.54,39.28,1796.06,13094.08
Uttar Dinajpur,2730.36,2929.71,954.75,56.28,967.27,4851.73
